point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,20.0,166;194;119;49;40;178;33;41;135;46;115;198;112;170;64;171;19;146;102;125;,0.0,
70.0,20.0,154;118;139;25;88;55;66;53;14;13;127;89;37;50;51;110;76;164;120;67;,20.0,154;118;139;25;88;55;66;53;14;13;127;89;37;50;51;110;76;164;120;67;
71.0,20.0,86;58;39;148;149;165;98;9;153;29;167;111;173;100;1;8;15;116;52;121;,20.0,86;58;39;148;149;165;98;9;153;29;167;111;173;100;1;8;15;116;52;121;
72.0,20.0,74;17;197;113;63;130;186;5;161;188;184;172;16;143;22;93;27;168;145;142;,20.0,74;17;197;113;63;130;186;5;161;188;184;172;16;143;22;93;27;168;145;142;
73.0,20.0,94;99;6;151;83;59;152;38;42;80;97;158;78;120;10;144;62;50;138;89;,20.0,94;99;6;151;83;59;152;38;42;80;97;158;78;120;10;144;62;50;138;89;
74.0,20.0,72;17;197;113;63;130;186;5;161;188;184;172;16;143;22;93;27;168;145;142;,20.0,72;17;197;113;63;130;186;5;161;188;184;172;16;143;22;93;27;168;145;142;
75.0,20.0,96;157;79;185;196;131;21;137;145;109;168;104;93;143;16;184;188;30;67;164;,20.0,96;157;79;185;196;131;21;137;145;109;168;104;93;143;16;184;188;30;67;164;
76.0,20.0,110;51;164;67;37;127;30;14;53;66;55;88;139;104;154;70;109;137;21;118;,20.0,110;51;164;67;37;127;30;14;53;66;55;88;139;104;154;70;109;137;21;118;
77.0,20.0,54;175;163;57;122;106;124;140;189;82;155;182;160;123;180;181;176;60;36;129;,20.0,54;175;163;57;122;106;124;140;189;82;155;182;160;123;180;181;176;60;36;129;
78.0,20.0,120;97;80;50;42;89;13;38;6;25;118;73;94;99;70;151;83;154;59;139;,20.0,120;97;80;50;42;89;13;38;6;25;118;73;94;99;70;151;83;154;59;139;
79.0,20.0,157;196;75;96;185;131;145;21;168;137;109;93;104;143;16;184;188;30;67;164;,20.0,157;196;75;96;185;131;145;21;168;137;109;93;104;143;16;184;188;30;67;164;
80.0,20.0,42;97;78;120;38;50;6;89;13;73;94;99;151;83;25;59;118;152;70;154;,20.0,42;97;78;120;38;50;6;89;13;73;94;99;151;83;25;59;118;152;70;154;
81.0,20.0,193;31;2;183;107;28;56;95;48;20;150;195;65;4;69;117;45;11;101;60;,20.0,193;31;2;183;107;28;56;95;48;20;150;195;65;4;69;117;45;11;101;60;
82.0,20.0,182;160;123;124;122;60;11;77;54;175;163;57;69;106;140;189;195;155;180;20;,20.0,182;160;123;124;122;60;11;77;54;175;163;57;69;106;140;189;195;155;180;20;
83.0,20.0,151;59;99;94;152;73;6;158;38;10;144;62;42;138;80;97;169;78;120;47;,20.0,151;59;99;94;152;73;6;158;38;10;144;62;42;138;80;97;169;78;120;47;
84.0,20.0,191;7;121;87;90;116;15;8;1;177;61;111;29;141;9;91;68;165;149;156;,20.0,191;7;121;87;90;116;15;8;1;177;61;111;29;141;9;91;68;165;149;156;
85.0,20.0,44;114;179;174;23;190;3;187;162;156;147;35;132;101;45;117;68;4;91;65;,20.0,44;114;179;174;23;190;3;187;162;156;147;35;132;101;45;117;68;4;91;65;
86.0,20.0,58;39;71;148;98;153;149;165;167;9;173;100;29;52;111;1;8;15;116;121;,20.0,58;39;71;148;98;153;149;165;167;9;173;100;29;52;111;1;8;15;116;121;
87.0,20.0,90;177;61;7;84;191;121;141;91;116;15;8;68;1;111;29;156;23;9;165;,20.0,90;177;61;7;84;191;121;141;91;116;15;8;68;1;111;29;156;23;9;165;
88.0,20.0,139;55;66;154;53;70;14;127;37;118;51;25;110;76;164;67;13;30;89;50;,20.0,139;55;66;154;53;70;14;127;37;118;51;25;110;76;164;67;13;30;89;50;
89.0,20.0,50;13;120;78;25;97;80;118;42;70;38;154;6;139;88;55;66;53;73;94;,20.0,50;13;120;78;25;97;80;118;42;70;38;154;6;139;88;55;66;53;73;94;
90.0,20.0,87;177;61;7;84;191;121;141;91;68;116;15;8;1;111;29;156;23;9;165;,20.0,87;177;61;7;84;191;121;141;91;68;116;15;8;1;111;29;156;23;9;165;
91.0,20.0,68;141;156;61;177;23;90;87;7;44;84;85;191;121;114;179;174;116;15;190;,20.0,68;141;156;61;177;23;90;87;7;44;84;85;191;121;114;179;174;116;15;190;
92.0,20.0,199;12;142;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,199;12;142;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;
93.0,20.0,143;168;16;145;184;188;131;196;79;157;75;96;185;21;5;137;109;186;104;130;,20.0,143;168;16;145;184;188;131;196;79;157;75;96;185;21;5;137;109;186;104;130;
94.0,20.0,99;73;151;83;59;6;152;38;42;80;158;10;97;144;62;78;120;138;169;50;,20.0,99;73;151;83;59;6;152;38;42;80;158;10;97;144;62;78;120;138;169;50;
95.0,20.0,48;150;56;65;4;117;45;101;31;81;193;2;132;35;147;183;162;187;107;28;,20.0,48;150;56;65;4;117;45;101;31;81;193;2;132;35;147;183;162;187;107;28;
96.0,20.0,75;185;157;79;196;21;131;137;109;145;168;104;93;143;16;184;30;188;67;164;,20.0,75;185;157;79;196;21;131;137;109;145;168;104;93;143;16;184;30;188;67;164;
97.0,20.0,80;42;78;120;38;50;89;6;13;73;94;99;25;151;83;118;59;152;70;154;,20.0,80;42;78;120;38;50;89;6;13;73;94;99;25;151;83;118;59;152;70;154;
98.0,20.0,148;153;39;58;86;167;173;100;71;52;149;165;9;126;29;111;1;8;15;116;,20.0,148;153;39;58;86;167;173;100;71;52;149;165;9;126;29;111;1;8;15;116;
99.0,20.0,94;73;151;83;59;152;6;38;42;158;10;80;97;144;62;78;120;138;169;50;,20.0,94;73;151;83;59;152;6;38;42;158;10;80;97;144;62;78;120;138;169;50;
100.0,20.0,173;167;52;153;98;148;39;58;126;86;71;149;165;9;29;111;1;8;15;116;,20.0,173;167;52;153;98;148;39;58;126;86;71;149;165;9;29;111;1;8;15;116;
101.0,20.0,45;117;132;35;147;4;65;162;187;3;150;190;48;95;174;56;179;114;85;44;,20.0,45;117;132;35;147;4;65;162;187;3;150;190;48;95;174;56;179;114;85;44;
102.0,20.0,125;146;129;36;64;176;112;181;198;180;46;155;135;189;140;41;106;40;57;163;,20.0,125;146;129;36;64;176;112;181;198;180;46;155;135;189;140;41;106;40;57;163;
103.0,20.0,128;136;43;18;19;171;170;115;33;178;108;26;24;49;32;0;166;194;119;40;,20.0,128;136;43;18;19;171;170;115;33;178;108;26;24;49;32;0;166;194;119;40;
104.0,20.0,109;137;21;30;185;96;75;157;79;67;196;164;76;110;131;51;145;37;168;127;,20.0,109;137;21;30;185;96;75;157;79;67;196;164;76;110;131;51;145;37;168;127;
105.0,20.0,47;134;192;159;133;169;138;62;144;34;10;158;32;24;26;108;152;59;18;83;,20.0,47;134;192;159;133;169;138;62;144;34;10;158;32;24;26;108;152;59;18;83;
106.0,20.0,140;57;163;189;175;54;77;155;122;180;181;124;176;36;129;125;102;82;182;160;,20.0,140;57;163;189;175;54;77;155;122;180;181;124;176;36;129;125;102;82;182;160;
107.0,20.0,28;183;20;2;193;81;31;195;69;11;56;60;95;123;48;150;160;182;82;65;,20.0,28;183;20;2;193;81;31;195;69;11;56;60;95;123;48;150;160;182;82;65;
108.0,20.0,26;24;32;18;34;128;103;136;43;19;171;170;133;159;115;192;134;33;105;178;,20.0,26;24;32;18;34;128;103;136;43;19;171;170;133;159;115;192;134;33;105;178;
109.0,20.0,137;21;185;104;96;75;157;79;196;131;145;30;168;67;93;164;76;110;51;143;,20.0,137;21;185;104;96;75;157;79;196;131;145;30;168;67;93;164;76;110;51;143;
110.0,20.0,76;51;164;67;37;127;30;14;53;66;55;88;139;104;154;70;109;137;21;118;,20.0,76;51;164;67;37;127;30;14;53;66;55;88;139;104;154;70;109;137;21;118;
111.0,20.0,29;1;8;15;116;9;121;165;149;191;84;7;87;90;71;177;61;86;58;39;,20.0,29;1;8;15;116;9;121;165;149;191;84;7;87;90;71;177;61;86;58;39;
112.0,20.0,198;46;64;146;135;102;125;129;36;41;176;181;180;40;155;189;119;194;140;166;,20.0,198;46;64;146;135;102;125;129;36;41;176;181;180;40;155;189;119;194;140;166;
113.0,20.0,197;17;63;130;74;72;186;5;188;184;16;143;93;161;168;145;172;131;22;196;,20.0,197;17;63;130;74;72;186;5;188;184;16;143;93;161;168;145;172;131;22;196;
114.0,20.0,179;85;44;174;190;3;187;162;147;35;132;23;101;45;117;156;4;65;150;48;,20.0,179;85;44;174;190;3;187;162;147;35;132;23;101;45;117;156;4;65;150;48;
115.0,20.0,170;171;19;33;178;43;136;103;49;128;0;166;18;194;119;40;41;135;46;108;,20.0,170;171;19;33;178;43;136;103;49;128;0;166;18;194;119;40;41;135;46;108;
116.0,20.0,15;8;1;111;121;29;191;84;7;9;87;165;149;90;177;61;71;141;86;91;,20.0,15;8;1;111;121;29;191;84;7;9;87;165;149;90;177;61;71;141;86;91;
117.0,20.0,45;101;132;4;35;65;147;150;48;162;95;187;3;190;56;174;179;114;31;81;,20.0,45;101;132;4;35;65;147;150;48;162;95;187;3;190;56;174;179;114;31;81;
118.0,20.0,25;70;154;13;139;88;55;66;89;50;53;14;120;78;127;37;97;51;80;110;,20.0,25;70;154;13;139;88;55;66;89;50;53;14;120;78;127;37;97;51;80;110;
119.0,20.0,194;166;0;40;49;41;135;178;33;46;198;112;64;115;146;170;102;125;129;36;,20.0,194;166;0;40;49;41;135;178;33;46;198;112;64;115;146;170;102;125;129;36;
120.0,20.0,78;97;50;80;42;89;13;38;6;25;118;73;70;94;99;154;151;83;59;139;,20.0,78;97;50;80;42;89;13;38;6;25;118;73;70;94;99;154;151;83;59;139;
121.0,20.0,191;84;7;116;15;8;1;87;111;90;29;177;61;9;165;149;141;91;68;71;,20.0,191;84;7;116;15;8;1;87;111;90;29;177;61;9;165;149;141;91;68;71;
122.0,20.0,124;77;54;175;163;57;82;182;160;106;123;140;189;155;60;11;180;181;176;69;,20.0,124;77;54;175;163;57;82;182;160;106;123;140;189;155;60;11;180;181;176;69;
123.0,20.0,160;182;82;60;124;11;122;69;77;54;175;163;57;106;195;140;189;20;155;180;,20.0,160;182;82;60;124;11;122;69;77;54;175;163;57;106;195;140;189;20;155;180;
124.0,20.0,122;82;182;160;123;77;54;175;163;57;106;60;11;140;189;155;69;180;181;176;,20.0,122;82;182;160;123;77;54;175;163;57;106;60;11;140;189;155;69;180;181;176;
125.0,20.0,102;129;146;36;176;64;181;112;180;198;46;155;189;135;140;41;106;57;40;163;,20.0,102;129;146;36;176;64;181;112;180;198;46;155;189;135;140;41;106;57;40;163;
126.0,20.0,52;100;173;167;153;98;148;39;58;86;71;149;165;9;29;111;1;8;15;116;,20.0,52;100;173;167;153;98;148;39;58;86;71;149;165;9;29;111;1;8;15;116;
127.0,20.0,37;14;51;53;110;76;164;67;66;55;88;139;30;154;70;118;104;25;109;137;,20.0,37;14;51;53;110;76;164;67;66;55;88;139;30;154;70;118;104;25;109;137;
128.0,20.0,103;18;136;43;19;171;170;115;108;26;33;24;178;32;49;0;166;194;119;34;,20.0,103;18;136;43;19;171;170;115;108;26;33;24;178;32;49;0;166;194;119;34;
129.0,20.0,125;102;36;146;176;64;181;180;112;198;155;46;189;135;140;106;41;57;163;40;,20.0,125;102;36;146;176;64;181;180;112;198;155;46;189;135;140;106;41;57;163;40;
130.0,20.0,63;113;186;197;17;5;74;72;188;184;16;143;93;168;145;131;196;79;157;161;,20.0,63;113;186;197;17;5;74;72;188;184;16;143;93;168;145;131;196;79;157;161;
131.0,20.0,145;196;168;79;157;75;96;185;93;21;137;109;143;16;184;188;104;30;5;67;,20.0,145;196;168;79;157;75;96;185;93;21;137;109;143;16;184;188;104;30;5;67;
132.0,20.0,35;101;147;45;117;162;187;4;3;190;65;174;150;48;95;179;114;56;85;44;,20.0,35;101;147;45;117;162;187;4;3;190;65;174;150;48;95;179;114;56;85;44;
133.0,20.0,159;192;134;105;47;34;169;138;32;62;24;144;26;108;10;158;18;128;103;136;,20.0,159;192;134;105;47;34;169;138;32;62;24;144;26;108;10;158;18;128;103;136;
134.0,20.0,192;159;133;105;47;169;34;138;62;144;32;10;158;24;26;108;18;128;152;103;,20.0,192;159;133;105;47;169;34;138;62;144;32;10;158;24;26;108;18;128;152;103;
135.0,20.0,46;41;198;112;40;64;146;102;125;129;119;194;36;176;166;0;181;180;49;155;,20.0,46;41;198;112;40;64;146;102;125;129;119;194;36;176;166;0;181;180;49;155;
136.0,20.0,43;19;171;103;170;128;115;18;33;178;49;0;166;108;26;194;119;24;40;32;,20.0,43;19;171;103;170;128;115;18;33;178;49;0;166;108;26;194;119;24;40;32;
137.0,20.0,109;21;185;104;96;75;157;79;196;131;145;168;30;93;67;164;76;110;51;143;,20.0,109;21;185;104;96;75;157;79;196;131;145;168;30;93;67;164;76;110;51;143;
138.0,20.0,169;62;144;10;47;158;105;134;192;159;133;152;34;59;83;151;32;99;94;24;,20.0,169;62;144;10;47;158;105;134;192;159;133;152;34;59;83;151;32;99;94;24;
139.0,20.0,88;55;66;154;53;70;14;127;118;37;25;51;110;76;164;67;13;30;89;50;,20.0,88;55;66;154;53;70;14;127;118;37;25;51;110;76;164;67;13;30;89;50;
140.0,20.0,189;106;155;57;180;163;175;181;54;77;176;36;122;129;125;102;146;124;64;82;,20.0,189;106;155;57;180;163;175;181;54;77;176;36;122;129;125;102;146;124;64;82;
141.0,20.0,91;68;61;177;156;90;87;23;7;84;191;121;44;85;114;179;116;15;8;1;,20.0,91;68;61;177;156;90;87;23;7;84;191;121;44;85;114;179;116;15;8;1;
142.0,20.0,27;12;199;22;172;161;92;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,27;12;199;22;172;161;92;72;74;17;197;113;63;130;186;5;188;184;16;143;
143.0,20.0,16;184;188;93;168;145;131;5;196;79;157;75;96;185;186;21;137;109;130;63;,20.0,16;184;188;93;168;145;131;5;196;79;157;75;96;185;186;21;137;109;130;63;
144.0,20.0,62;10;158;138;169;47;105;134;192;152;159;133;59;83;151;99;94;34;73;32;,20.0,62;10;158;138;169;47;105;134;192;152;159;133;59;83;151;99;94;34;73;32;
145.0,20.0,168;131;196;79;157;93;75;96;185;143;21;16;184;137;188;109;104;5;30;186;,20.0,168;131;196;79;157;93;75;96;185;143;21;16;184;137;188;109;104;5;30;186;
146.0,20.0,102;125;64;129;36;112;176;198;181;46;180;135;155;189;41;140;40;106;57;163;,20.0,102;125;64;129;36;112;176;198;181;46;180;135;155;189;41;140;40;106;57;163;
