point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
74.0,9.0,57;52;254;77;70;241;72;274;243;,9.0,57;52;254;77;70;241;72;274;243;
75.0,9.0,266;44;77;52;57;74;69;254;70;,9.0,266;44;77;52;57;74;69;254;70;
76.0,9.0,255;58;66;282;46;40;78;71;272;,9.0,255;58;66;282;46;40;78;71;272;
77.0,9.0,52;57;74;75;254;70;266;241;72;,9.0,52;57;74;75;254;70;266;241;72;
78.0,9.0,71;46;275;79;58;76;255;267;48;,9.0,71;46;275;79;58;76;255;267;48;
79.0,9.0,267;48;275;71;78;46;252;73;253;,9.0,267;48;275;71;78;46;252;73;253;
80.0,9.0,5;36;20;83;107;116;106;221;104;,9.0,5;36;20;83;107;116;106;221;104;
81.0,9.0,396;375;33;97;397;109;206;108;13;,9.0,396;375;33;97;397;109;206;108;13;
82.0,9.0,114;28;382;110;105;91;390;98;101;,9.0,114;28;382;110;105;91;390;98;101;
83.0,9.0,107;36;104;80;3;5;20;374;360;,9.0,107;36;104;80;3;5;20;374;360;
84.0,9.0,117;101;7;361;105;0;94;110;28;,9.0,117;101;7;361;105;0;94;110;28;
85.0,9.0,211;362;15;37;127;395;364;378;4;,9.0,211;362;15;37;127;395;364;378;4;
86.0,9.0,366;218;381;399;93;92;22;224;217;,9.0,366;218;381;399;93;92;22;224;217;
87.0,9.0,27;16;32;19;29;1;6;31;8;,9.0,27;16;32;19;29;1;6;31;8;
88.0,9.0,30;94;0;361;7;204;117;21;84;,9.0,30;94;0;361;7;204;117;21;84;
89.0,9.0,113;2;95;245;38;34;35;24;221;,9.0,113;2;95;245;38;34;35;24;221;
90.0,9.0,384;115;26;380;119;18;360;374;3;,9.0,384;115;26;380;119;18;360;374;3;
91.0,9.0,390;98;382;111;13;108;82;114;28;,9.0,390;98;382;111;13;108;82;114;28;
92.0,9.0,22;93;399;381;4;378;395;37;86;,9.0,22;93;399;381;4;378;395;37;86;
93.0,9.0,92;22;399;381;4;378;395;37;86;,9.0,92;22;399;381;4;378;395;37;86;
94.0,9.0,0;361;7;88;117;30;84;204;21;,9.0,0;361;7;88;117;30;84;204;21;
95.0,9.0,245;2;89;113;34;35;221;38;106;,9.0,245;2;89;113;34;35;221;38;106;
96.0,9.0,213;10;389;118;363;385;377;383;393;,9.0,213;10;389;118;363;385;377;383;393;
97.0,9.0,33;396;109;81;206;375;108;13;111;,9.0,33;396;109;81;206;375;108;13;111;
98.0,9.0,390;91;111;13;108;382;206;109;82;,9.0,390;91;111;13;108;382;206;109;82;
99.0,9.0,386;397;367;375;11;372;379;81;396;,9.0,386;397;367;375;11;372;379;81;396;
100.0,9.0,9;229;376;201;236;235;228;237;215;,9.0,9;229;376;201;236;235;228;237;215;
101.0,9.0,105;110;84;28;114;82;117;382;7;,9.0,105;110;84;28;114;82;117;382;7;
102.0,9.0,24;205;17;112;14;8;31;38;6;,9.0,24;205;17;112;14;8;31;38;6;
103.0,9.0,233;370;369;368;364;127;15;85;211;,9.0,233;370;369;368;364;127;15;85;211;
104.0,9.0,3;374;360;18;119;380;107;83;26;,9.0,3;374;360;18;119;380;107;83;26;
105.0,9.0,110;28;114;101;82;382;84;91;390;,9.0,110;28;114;101;82;382;84;91;390;
106.0,9.0,221;116;35;34;20;5;80;36;245;,9.0,221;116;35;34;20;5;80;36;245;
107.0,9.0,83;36;104;80;3;5;20;374;360;,9.0,83;36;104;80;3;5;20;374;360;
108.0,9.0,13;111;206;109;98;390;91;97;33;,9.0,13;111;206;109;98;390;91;97;33;
109.0,9.0,206;108;13;97;111;33;396;98;81;,9.0,206;108;13;97;111;33;396;98;81;
110.0,9.0,105;28;114;82;101;382;91;390;98;,9.0,105;28;114;82;101;382;91;390;98;
111.0,9.0,13;108;98;206;390;91;109;382;97;,9.0,13;108;98;206;390;91;109;382;97;
112.0,9.0,17;14;205;8;31;102;24;6;19;,9.0,17;14;205;8;31;102;24;6;19;
113.0,9.0,89;2;95;245;38;34;24;35;102;,9.0,89;2;95;245;38;34;24;35;102;
114.0,9.0,28;82;110;105;382;91;390;98;101;,9.0,28;82;110;105;382;91;390;98;101;
115.0,9.0,90;384;26;21;204;380;119;18;360;,9.0,90;384;26;21;204;380;119;18;360;
116.0,9.0,106;221;20;35;5;34;80;36;83;,9.0,106;221;20;35;5;34;80;36;83;
117.0,9.0,7;361;84;0;94;101;88;105;110;,9.0,7;361;84;0;94;101;88;105;110;
118.0,9.0,389;10;96;213;363;385;377;233;103;,9.0,389;10;96;213;363;385;377;233;103;
119.0,9.0,380;26;18;360;374;384;3;90;104;,9.0,380;26;18;360;374;384;3;90;104;
120.0,9.0,126;152;174;232;135;147;139;137;146;,9.0,126;152;174;232;135;147;139;137;146;
121.0,9.0,161;144;148;185;181;162;198;182;196;,9.0,161;144;148;185;181;162;198;182;196;
122.0,9.0,199;176;130;134;154;141;168;128;123;,9.0,199;176;130;134;154;141;168;128;123;
123.0,9.0,168;141;169;209;134;130;220;176;199;,9.0,168;141;169;209;134;130;220;176;199;
124.0,9.0,200;129;155;125;150;143;137;139;234;,9.0,200;129;155;125;150;143;137;139;234;
125.0,9.0,129;143;234;153;200;124;151;138;155;,9.0,129;143;234;153;200;124;151;138;155;
126.0,9.0,120;152;174;232;135;147;139;137;150;,9.0,120;152;174;232;135;147;139;137;150;
127.0,9.0,15;364;85;211;362;37;395;378;4;,9.0,15;364;85;211;362;37;395;378;4;
128.0,9.0,154;207;122;199;176;130;134;136;133;,9.0,154;207;122;199;176;130;134;136;133;
129.0,9.0,200;124;125;143;155;234;153;151;150;,9.0,200;124;125;143;155;234;153;151;150;
130.0,9.0,134;176;199;122;141;168;123;169;209;,9.0,134;176;199;122;141;168;123;169;209;
131.0,9.0,212;227;238;145;156;138;151;153;234;,9.0,212;227;238;145;156;138;151;153;234;
132.0,9.0,171;160;149;195;166;189;193;184;173;,9.0,171;160;149;195;166;189;193;184;173;
133.0,9.0,136;196;181;185;148;121;161;144;162;,9.0,136;196;181;185;148;121;161;144;162;
134.0,9.0,130;176;199;122;141;168;123;169;209;,9.0,130;176;199;122;141;168;123;169;209;
135.0,9.0,147;152;120;146;126;220;174;232;209;,9.0,147;152;120;146;126;220;174;232;209;
136.0,9.0,133;196;181;185;148;121;161;144;162;,9.0,133;196;181;185;148;121;161;144;162;
137.0,9.0,139;150;155;232;174;126;120;124;200;,9.0,139;150;155;232;174;126;120;124;200;
138.0,9.0,151;145;153;234;143;238;125;129;131;,9.0,151;145;153;234;143;238;125;129;131;
139.0,9.0,137;150;232;155;174;126;120;124;152;,9.0,137;150;232;155;174;126;120;124;152;
140.0,9.0,157;167;163;182;142;198;158;162;144;,9.0,157;167;163;182;142;198;158;162;144;
141.0,9.0,168;123;169;134;130;209;176;199;122;,9.0,168;123;169;134;130;209;176;199;122;
142.0,9.0,163;158;167;177;140;157;175;187;170;,9.0,163;158;167;177;140;157;175;187;170;
143.0,9.0,234;153;151;125;138;129;145;200;124;,9.0,234;153;151;125;138;129;145;200;124;
144.0,9.0,161;121;148;185;181;162;198;182;196;,9.0,161;121;148;185;181;162;198;182;196;
145.0,9.0,138;238;151;153;234;143;131;125;129;,9.0,138;238;151;153;234;143;131;125;129;
146.0,9.0,220;209;147;135;169;152;123;168;141;,9.0,220;209;147;135;169;152;123;168;141;
147.0,9.0,135;152;146;120;126;220;174;209;232;,9.0,135;152;146;120;126;220;174;209;232;
148.0,9.0,185;121;181;161;144;162;196;198;182;,9.0,185;121;181;161;144;162;196;198;182;
149.0,9.0,160;171;193;132;184;173;186;195;165;,9.0,160;171;193;132;184;173;186;195;165;
150.0,9.0,137;139;155;232;174;124;200;126;120;,9.0,137;139;155;232;174;124;200;126;120;
151.0,9.0,138;153;234;143;145;125;238;129;200;,9.0,138;153;234;143;145;125;238;129;200;
152.0,9.0,120;126;135;147;174;232;146;220;139;,9.0,120;126;135;147;174;232;146;220;139;
153.0,9.0,234;143;151;138;125;145;129;200;238;,9.0,234;143;151;138;125;145;129;200;238;
154.0,9.0,128;207;122;199;176;130;134;136;133;,9.0,128;207;122;199;176;130;134;136;133;
155.0,9.0,150;124;200;137;139;129;125;232;174;,9.0,150;124;200;137;139;129;125;232;174;
156.0,9.0,227;212;387;231;222;131;219;230;225;,9.0,227;212;387;231;222;131;219;230;225;
157.0,9.0,140;167;182;163;198;142;158;162;144;,9.0,140;167;182;163;198;142;158;162;144;
158.0,9.0,142;163;167;177;175;187;140;157;170;,9.0,142;163;167;177;175;187;140;157;170;
159.0,9.0,239;215;237;228;229;9;100;376;201;,9.0,239;215;237;228;229;9;100;376;201;
160.0,9.0,149;171;132;193;184;173;195;166;186;,9.0,149;171;132;193;184;173;195;166;186;
161.0,9.0,121;144;148;185;181;162;198;182;196;,9.0,121;144;148;185;181;162;198;182;196;
162.0,9.0,144;198;161;121;182;148;185;181;196;,9.0,144;198;161;121;182;148;185;181;196;
163.0,9.0,142;167;158;140;157;177;175;187;170;,9.0,142;167;158;140;157;177;175;187;170;
164.0,9.0,197;188;183;178;179;180;192;170;187;,9.0,197;188;183;178;179;180;192;170;187;
165.0,9.0,186;173;184;193;194;510;508;149;160;,9.0,186;173;184;193;194;510;508;149;160;
166.0,9.0,195;189;132;171;192;180;160;179;149;,9.0,195;189;132;171;192;180;160;179;149;
167.0,9.0,163;142;158;140;157;177;182;198;175;,9.0,163;142;158;140;157;177;182;198;175;
168.0,9.0,123;141;169;209;134;130;176;199;220;,9.0,123;141;169;209;134;130;176;199;220;
169.0,9.0,209;123;168;141;220;146;134;130;176;,9.0,209;123;168;141;220;146;134;130;176;
170.0,9.0,187;175;177;183;197;158;164;142;163;,9.0,187;175;177;183;197;158;164;142;163;
171.0,9.0,160;149;132;193;195;166;184;173;189;,9.0,160;149;132;193;195;166;184;173;189;
172.0,9.0,190;191;508;510;194;500;165;186;173;,9.0,190;191;508;510;194;500;165;186;173;
173.0,9.0,184;186;165;193;149;194;160;510;508;,9.0,184;186;165;193;149;194;160;510;508;
174.0,9.0,232;126;120;152;139;137;135;150;147;,9.0,232;126;120;152;139;137;135;150;147;
175.0,9.0,187;170;177;158;183;142;163;197;167;,9.0,187;170;177;158;183;142;163;197;167;
176.0,9.0,199;130;134;122;141;168;123;154;169;,9.0,199;130;134;122;141;168;123;154;169;
177.0,9.0,175;187;170;158;142;163;167;183;197;,9.0,175;187;170;158;142;163;167;183;197;
178.0,9.0,179;188;180;192;164;197;183;189;166;,9.0,179;188;180;192;164;197;183;189;166;
179.0,9.0,178;180;192;188;164;197;183;189;166;,9.0,178;180;192;188;164;197;183;189;166;
180.0,9.0,192;179;178;188;189;164;197;183;166;,9.0,192;179;178;188;189;164;197;183;166;
181.0,9.0,185;148;121;161;144;196;162;133;136;,9.0,185;148;121;161;144;196;162;133;136;
182.0,9.0,198;162;144;161;121;148;185;157;181;,9.0,198;162;144;161;121;148;185;157;181;
183.0,9.0,197;164;188;170;178;187;175;179;177;,9.0,197;164;188;170;178;187;175;179;177;
184.0,9.0,173;186;165;193;149;160;194;510;171;,9.0,173;186;165;193;149;160;194;510;171;
185.0,9.0,148;181;121;161;144;162;196;133;198;,9.0,148;181;121;161;144;162;196;133;198;
186.0,9.0,165;173;184;193;194;510;508;149;160;,9.0,165;173;184;193;194;510;508;149;160;
187.0,9.0,175;170;177;158;183;142;163;197;167;,9.0,175;170;177;158;183;142;163;197;167;
188.0,9.0,164;178;197;179;183;180;192;170;187;,9.0,164;178;197;179;183;180;192;170;187;
189.0,9.0,166;195;192;180;179;132;178;171;188;,9.0,166;195;192;180;179;132;178;171;188;
190.0,9.0,172;191;508;510;194;500;165;186;173;,9.0,172;191;508;510;194;500;165;186;173;
191.0,9.0,190;172;508;510;194;165;186;173;184;,9.0,190;172;508;510;194;165;186;173;184;
192.0,9.0,180;179;178;188;189;164;197;183;166;,9.0,180;179;178;188;189;164;197;183;166;
193.0,9.0,184;173;149;160;186;165;171;132;194;,9.0,184;173;149;160;186;165;171;132;194;
194.0,9.0,510;508;165;186;173;184;191;193;149;,9.0,510;508;165;186;173;184;191;193;149;
195.0,9.0,166;189;132;171;192;180;160;149;179;,9.0,166;189;132;171;192;180;160;149;179;
196.0,9.0,133;136;181;185;148;121;161;144;162;,9.0,133;136;181;185;148;121;161;144;162;
197.0,9.0,183;164;188;178;170;179;187;175;180;,9.0,183;164;188;178;170;179;187;175;180;
198.0,9.0,182;162;144;161;121;148;185;181;157;,9.0,182;162;144;161;121;148;185;181;157;
199.0,9.0,176;122;130;134;141;168;123;154;169;,9.0,176;122;130;134;141;168;123;154;169;
200.0,9.0,124;129;155;125;150;143;137;234;153;,9.0,124;129;155;125;150;143;137;234;153;
201.0,9.0,376;236;235;100;9;229;392;228;237;,9.0,376;236;235;100;9;229;392;228;237;
202.0,9.0,365;373;216;226;210;388;393;383;377;,9.0,365;373;216;226;210;388;393;383;377;
203.0,9.0,214;223;398;225;230;219;222;231;387;,9.0,214;223;398;225;230;219;222;231;387;
204.0,9.0,21;30;115;88;90;94;0;384;361;,9.0,21;30;115;88;90;94;0;384;361;
205.0,9.0,17;112;102;14;24;8;31;6;38;,9.0,17;112;102;14;24;8;31;6;38;
206.0,9.0,109;108;13;111;97;33;98;396;390;,9.0,109;108;13;111;97;33;98;396;390;
207.0,9.0,128;154;122;136;133;199;176;196;130;,9.0,128;154;122;136;133;199;176;196;130;
208.0,9.0,391;371;25;12;394;217;379;372;11;,9.0,391;371;25;12;394;217;379;372;11;
209.0,9.0,169;220;146;123;168;141;147;135;134;,9.0,169;220;146;123;168;141;147;135;134;
210.0,9.0,216;373;202;392;365;235;226;388;393;,9.0,216;373;202;392;365;235;226;388;393;
211.0,9.0,362;85;37;15;127;395;378;4;364;,9.0,362;85;37;15;127;395;378;4;364;
212.0,9.0,227;156;131;238;387;231;222;219;145;,9.0,227;156;131;238;387;231;222;219;145;
213.0,9.0,96;10;389;118;363;385;377;383;393;,9.0,96;10;389;118;363;385;377;383;393;
214.0,9.0,223;398;225;203;230;219;222;231;387;,9.0,223;398;225;203;230;219;222;231;387;
215.0,9.0,237;228;159;239;229;9;100;376;201;,9.0,237;228;159;239;229;9;100;376;201;
216.0,9.0,373;210;202;365;392;226;388;393;383;,9.0,373;210;202;365;392;226;388;393;383;
217.0,9.0,224;394;218;366;371;86;208;391;381;,9.0,224;394;218;366;371;86;208;391;381;
218.0,9.0,366;224;86;217;394;381;399;93;92;,9.0,366;224;86;217;394;381;399;93;92;
219.0,9.0,222;230;231;225;387;398;223;214;203;,9.0,222;230;231;225;387;398;223;214;203;
220.0,9.0,146;209;169;147;135;123;168;141;152;,9.0,146;209;169;147;135;123;168;141;152;
221.0,9.0,106;116;35;34;20;5;80;36;245;,9.0,106;116;35;34;20;5;80;36;245;
222.0,9.0,219;230;231;387;225;398;223;214;203;,9.0,219;230;231;387;225;398;223;214;203;
223.0,9.0,398;225;214;230;219;222;203;231;387;,9.0,398;225;214;230;219;222;203;231;387;
224.0,9.0,217;394;218;366;86;371;208;381;399;,9.0,217;394;218;366;86;371;208;381;399;
225.0,9.0,398;223;214;230;219;222;203;231;387;,9.0,398;223;214;230;219;222;203;231;387;
226.0,9.0,388;393;383;377;365;385;202;363;373;,9.0,388;393;383;377;365;385;202;363;373;
227.0,9.0,212;156;131;238;387;231;222;219;230;,9.0,212;156;131;238;387;231;222;219;230;
228.0,9.0,237;215;159;239;229;9;100;376;201;,9.0,237;215;159;239;229;9;100;376;201;
229.0,9.0,9;100;376;201;236;228;237;215;235;,9.0,9;100;376;201;236;228;237;215;235;
230.0,9.0,219;222;225;398;223;214;231;387;203;,9.0,219;222;225;398;223;214;231;387;203;
231.0,9.0,387;222;219;230;225;398;223;214;203;,9.0,387;222;219;230;225;398;223;214;203;
232.0,9.0,174;126;120;139;152;137;150;135;147;,9.0,174;126;120;139;152;137;150;135;147;
233.0,9.0,103;370;369;368;364;127;15;85;211;,9.0,103;370;369;368;364;127;15;85;211;
234.0,9.0,153;143;151;138;125;145;129;200;238;,9.0,153;143;151;138;125;145;129;200;238;
235.0,9.0,236;201;392;376;100;9;229;210;216;,9.0,236;201;392;376;100;9;229;210;216;
236.0,9.0,201;376;235;100;9;229;392;228;210;,9.0,201;376;235;100;9;229;392;228;210;
237.0,9.0,215;228;159;239;229;9;100;376;201;,9.0,215;228;159;239;229;9;100;376;201;
238.0,9.0,145;131;138;151;153;234;143;212;227;,9.0,145;131;138;151;153;234;143;212;227;
239.0,9.0,159;215;237;228;229;9;100;203;376;,9.0,159;215;237;228;229;9;100;203;376;
240.0,9.0,263;248;262;68;260;39;65;50;51;,9.0,263;248;262;68;260;39;65;50;51;
241.0,9.0,72;70;274;243;254;250;264;45;74;,9.0,72;70;274;243;254;250;264;45;74;
242.0,9.0,265;258;64;270;61;257;23;59;253;,9.0,265;258;64;270;61;257;23;59;253;
243.0,9.0,274;72;241;70;250;254;264;45;269;,9.0,274;72;241;70;250;254;264;45;269;
244.0,9.0,246;42;261;279;55;56;269;268;45;,9.0,246;42;261;279;55;56;269;268;45;
245.0,9.0,95;2;89;113;34;35;221;106;116;,9.0,95;2;89;113;34;35;221;106;116;
246.0,9.0,244;279;42;261;55;56;269;268;63;,9.0,244;279;42;261;55;56;269;268;63;
247.0,9.0,41;316;251;272;40;259;43;249;277;,9.0,41;316;251;272;40;259;43;249;277;
248.0,9.0,240;263;262;68;260;39;65;50;51;,9.0,240;263;262;68;260;39;65;50;51;
249.0,9.0,277;63;268;55;43;259;279;246;244;,9.0,277;63;268;55;43;259;279;246;244;
250.0,9.0,264;45;243;274;72;269;241;56;70;,9.0,264;45;243;274;72;269;241;56;70;
251.0,9.0,316;41;272;247;40;259;43;282;249;,9.0,316;41;272;247;40;259;43;282;249;
252.0,9.0,73;253;59;48;267;270;64;79;242;,9.0,73;253;59;48;267;270;64;79;242;
253.0,9.0,59;73;252;270;64;48;267;242;265;,9.0,59;73;252;270;64;48;267;242;265;
254.0,9.0,70;241;72;274;243;74;57;250;52;,9.0,70;241;72;274;243;74;57;250;52;
255.0,9.0,76;58;66;282;46;40;78;272;251;,9.0,76;58;66;282;46;40;78;272;251;
256.0,9.0,67;290;317;47;60;305;289;278;273;,9.0,67;290;317;47;60;305;289;278;273;
257.0,9.0,61;23;258;265;242;271;64;270;51;,9.0,61;23;258;265;242;271;64;270;51;
258.0,9.0,265;242;61;257;64;270;23;59;253;,9.0,265;242;61;257;64;270;23;59;253;
259.0,9.0,43;247;41;316;249;251;277;272;63;,9.0,43;247;41;316;249;251;277;272;63;
260.0,9.0,39;65;68;50;262;51;263;240;271;,9.0,39;65;68;50;262;51;263;240;271;
261.0,9.0,42;244;246;56;269;279;45;264;250;,9.0,42;244;246;56;269;279;45;264;250;
262.0,9.0,68;260;263;39;240;65;50;248;51;,9.0,68;260;263;39;240;65;50;248;51;
263.0,9.0,240;262;68;248;260;39;65;50;51;,9.0,240;262;68;248;260;39;65;50;51;
264.0,9.0,45;250;269;56;243;274;72;241;70;,9.0,45;250;269;56;243;274;72;241;70;
265.0,9.0,242;258;64;270;61;257;23;59;253;,9.0,242;258;64;270;61;257;23;59;253;
266.0,9.0,75;44;77;52;69;57;74;312;254;,9.0,75;44;77;52;69;57;74;312;254;
267.0,9.0,48;79;252;275;73;253;59;71;78;,9.0,48;79;252;275;73;253;59;71;78;
268.0,9.0,63;277;249;55;279;43;246;244;259;,9.0,63;277;249;55;279;43;246;244;259;
269.0,9.0,56;45;264;250;261;42;243;274;72;,9.0,56;45;264;250;261;42;243;274;72;
270.0,9.0,64;242;265;59;253;73;258;252;61;,9.0,64;242;265;59;253;73;258;252;61;
271.0,9.0,51;23;257;61;50;65;39;260;258;,9.0,51;23;257;61;50;65;39;260;258;
272.0,9.0,251;316;41;247;40;259;43;282;66;,9.0,251;316;41;247;40;259;43;282;66;
273.0,9.0,278;305;303;313;304;317;290;301;280;,9.0,278;305;303;313;304;317;290;301;280;
274.0,9.0,72;243;241;70;254;250;264;45;74;,9.0,72;243;241;70;254;250;264;45;74;
275.0,9.0,71;78;46;79;267;48;58;76;255;,9.0,71;78;46;79;267;48;58;76;255;
276.0,9.0,318;289;60;47;49;67;256;290;317;,9.0,318;289;60;47;49;67;256;290;317;
277.0,9.0,249;63;268;55;43;259;279;246;244;,9.0,249;63;268;55;43;259;279;246;244;
