point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,8.0,94;361;7;88;117;30;84;204;,0.0,
72.0,8.0,274;243;241;70;254;250;264;45;,8.0,274;243;241;70;254;250;264;45;
73.0,8.0,253;59;252;270;48;64;267;242;,8.0,253;59;252;270;48;64;267;242;
74.0,8.0,57;52;254;77;70;241;72;274;,8.0,57;52;254;77;70;241;72;274;
75.0,8.0,266;44;77;52;57;74;69;254;,8.0,266;44;77;52;57;74;69;254;
76.0,8.0,255;58;66;282;46;40;78;272;,8.0,255;58;66;282;46;40;78;272;
77.0,8.0,52;57;74;75;254;70;266;241;,8.0,52;57;74;75;254;70;266;241;
78.0,8.0,71;46;275;79;58;76;255;267;,8.0,71;46;275;79;58;76;255;267;
79.0,8.0,267;48;275;71;78;46;252;73;,8.0,267;48;275;71;78;46;252;73;
80.0,8.0,5;36;20;83;107;116;106;221;,8.0,5;36;20;83;107;116;106;221;
81.0,8.0,396;375;33;97;397;109;206;108;,8.0,396;375;33;97;397;109;206;108;
82.0,8.0,114;28;382;110;105;91;390;98;,8.0,114;28;382;110;105;91;390;98;
83.0,8.0,107;36;104;80;3;5;20;374;,8.0,107;36;104;80;3;5;20;374;
84.0,8.0,117;101;7;361;105;0;94;110;,8.0,117;101;7;361;105;0;94;110;
85.0,8.0,211;362;15;37;127;395;364;378;,8.0,211;362;15;37;127;395;364;378;
86.0,8.0,366;218;381;399;93;92;22;224;,8.0,366;218;381;399;93;92;22;224;
87.0,8.0,27;16;32;19;29;1;6;31;,8.0,27;16;32;19;29;1;6;31;
88.0,8.0,30;94;0;361;7;204;117;21;,8.0,30;94;0;361;7;204;117;21;
89.0,8.0,113;2;95;245;38;34;35;24;,8.0,113;2;95;245;38;34;35;24;
90.0,8.0,384;115;26;380;119;18;360;374;,8.0,384;115;26;380;119;18;360;374;
91.0,8.0,390;98;382;111;13;108;82;114;,8.0,390;98;382;111;13;108;82;114;
92.0,8.0,22;93;399;381;4;378;395;37;,8.0,22;93;399;381;4;378;395;37;
93.0,8.0,92;22;399;381;4;378;395;37;,8.0,92;22;399;381;4;378;395;37;
94.0,8.0,0;361;7;88;117;30;84;204;,8.0,0;361;7;88;117;30;84;204;
95.0,8.0,245;2;89;113;34;35;38;221;,8.0,245;2;89;113;34;35;38;221;
96.0,8.0,213;10;389;118;363;385;377;383;,8.0,213;10;389;118;363;385;377;383;
97.0,8.0,33;396;109;81;206;375;108;13;,8.0,33;396;109;81;206;375;108;13;
98.0,8.0,390;91;111;13;108;382;206;109;,8.0,390;91;111;13;108;382;206;109;
99.0,8.0,386;397;367;375;11;372;379;81;,8.0,386;397;367;375;11;372;379;81;
100.0,8.0,9;229;376;201;236;235;228;237;,8.0,9;229;376;201;236;235;228;237;
101.0,8.0,105;110;84;28;114;82;117;382;,8.0,105;110;84;28;114;82;117;382;
102.0,8.0,24;205;17;112;14;8;31;38;,8.0,24;205;17;112;14;8;31;38;
103.0,8.0,233;370;369;368;364;127;15;85;,8.0,233;370;369;368;364;127;15;85;
104.0,8.0,3;374;360;18;119;380;107;83;,8.0,3;374;360;18;119;380;107;83;
105.0,8.0,110;28;114;101;82;382;84;91;,8.0,110;28;114;101;82;382;84;91;
106.0,8.0,221;116;35;34;20;5;80;36;,8.0,221;116;35;34;20;5;80;36;
107.0,8.0,83;36;104;80;3;5;20;374;,8.0,83;36;104;80;3;5;20;374;
108.0,8.0,13;111;206;109;98;390;91;97;,8.0,13;111;206;109;98;390;91;97;
109.0,8.0,206;108;13;97;111;33;396;98;,8.0,206;108;13;97;111;33;396;98;
110.0,8.0,105;28;114;82;101;382;91;390;,8.0,105;28;114;82;101;382;91;390;
111.0,8.0,13;108;98;206;390;91;109;382;,8.0,13;108;98;206;390;91;109;382;
112.0,8.0,17;14;205;8;31;102;24;6;,8.0,17;14;205;8;31;102;24;6;
113.0,8.0,89;2;95;245;38;34;24;35;,8.0,89;2;95;245;38;34;24;35;
114.0,8.0,28;82;110;105;382;91;390;98;,8.0,28;82;110;105;382;91;390;98;
115.0,8.0,90;384;26;21;204;380;119;18;,8.0,90;384;26;21;204;380;119;18;
116.0,8.0,106;221;20;35;5;34;80;36;,8.0,106;221;20;35;5;34;80;36;
117.0,8.0,7;361;84;0;94;101;88;105;,8.0,7;361;84;0;94;101;88;105;
118.0,8.0,389;10;96;213;363;385;377;233;,8.0,389;10;96;213;363;385;377;233;
119.0,8.0,380;26;18;360;374;384;3;90;,8.0,380;26;18;360;374;384;3;90;
120.0,8.0,126;152;174;232;135;147;139;137;,8.0,126;152;174;232;135;147;139;137;
121.0,8.0,161;144;148;185;181;162;198;182;,8.0,161;144;148;185;181;162;198;182;
122.0,8.0,199;176;130;134;154;141;168;128;,8.0,199;176;130;134;154;141;168;128;
123.0,8.0,168;141;169;209;134;130;220;176;,8.0,168;141;169;209;134;130;220;176;
124.0,8.0,200;129;155;125;150;143;137;139;,8.0,200;129;155;125;150;143;137;139;
125.0,8.0,129;143;234;153;200;124;151;138;,8.0,129;143;234;153;200;124;151;138;
126.0,8.0,120;152;174;232;135;147;139;137;,8.0,120;152;174;232;135;147;139;137;
127.0,8.0,15;364;85;211;362;37;395;378;,8.0,15;364;85;211;362;37;395;378;
128.0,8.0,154;207;122;199;176;130;134;136;,8.0,154;207;122;199;176;130;134;136;
129.0,8.0,200;124;125;143;155;234;153;151;,8.0,200;124;125;143;155;234;153;151;
130.0,8.0,134;176;199;122;141;168;123;169;,8.0,134;176;199;122;141;168;123;169;
131.0,8.0,212;227;238;145;156;138;151;153;,8.0,212;227;238;145;156;138;151;153;
132.0,8.0,171;160;149;195;166;189;193;184;,8.0,171;160;149;195;166;189;193;184;
133.0,8.0,136;196;181;185;148;121;161;144;,8.0,136;196;181;185;148;121;161;144;
134.0,8.0,130;176;199;122;141;168;123;169;,8.0,130;176;199;122;141;168;123;169;
135.0,8.0,147;152;120;146;126;220;174;232;,8.0,147;152;120;146;126;220;174;232;
136.0,8.0,133;196;181;185;148;121;161;144;,8.0,133;196;181;185;148;121;161;144;
137.0,8.0,139;150;155;232;174;126;120;124;,8.0,139;150;155;232;174;126;120;124;
138.0,8.0,151;145;153;234;143;238;125;129;,8.0,151;145;153;234;143;238;125;129;
139.0,8.0,137;150;232;155;174;126;120;124;,8.0,137;150;232;155;174;126;120;124;
140.0,8.0,157;167;163;182;142;198;158;162;,8.0,157;167;163;182;142;198;158;162;
141.0,8.0,168;123;169;134;130;209;176;199;,8.0,168;123;169;134;130;209;176;199;
142.0,8.0,163;158;167;177;140;157;175;187;,8.0,163;158;167;177;140;157;175;187;
143.0,8.0,234;153;151;125;138;129;145;200;,8.0,234;153;151;125;138;129;145;200;
144.0,8.0,161;121;148;185;181;162;198;182;,8.0,161;121;148;185;181;162;198;182;
145.0,8.0,138;238;151;153;234;143;131;125;,8.0,138;238;151;153;234;143;131;125;
146.0,8.0,220;209;147;135;169;152;123;168;,8.0,220;209;147;135;169;152;123;168;
147.0,8.0,135;152;146;120;126;220;174;209;,8.0,135;152;146;120;126;220;174;209;
148.0,8.0,185;121;181;161;144;162;196;198;,8.0,185;121;181;161;144;162;196;198;
149.0,8.0,160;171;193;132;184;173;186;195;,8.0,160;171;193;132;184;173;186;195;
150.0,8.0,137;139;155;232;174;124;200;126;,8.0,137;139;155;232;174;124;200;126;
151.0,8.0,138;153;234;143;145;125;238;129;,8.0,138;153;234;143;145;125;238;129;
152.0,8.0,120;126;135;147;174;232;146;220;,8.0,120;126;135;147;174;232;146;220;
153.0,8.0,234;143;151;138;125;145;129;200;,8.0,234;143;151;138;125;145;129;200;
154.0,8.0,128;207;122;199;176;130;134;136;,8.0,128;207;122;199;176;130;134;136;
155.0,8.0,150;124;200;137;139;129;125;232;,8.0,150;124;200;137;139;129;125;232;
156.0,8.0,227;212;387;231;222;131;219;230;,8.0,227;212;387;231;222;131;219;230;
157.0,8.0,140;167;182;163;198;142;158;162;,8.0,140;167;182;163;198;142;158;162;
158.0,8.0,142;163;167;177;175;187;140;157;,8.0,142;163;167;177;175;187;140;157;
159.0,8.0,239;215;237;228;229;9;100;376;,8.0,239;215;237;228;229;9;100;376;
160.0,8.0,149;171;132;193;184;173;195;166;,8.0,149;171;132;193;184;173;195;166;
161.0,8.0,121;144;148;185;181;162;198;182;,8.0,121;144;148;185;181;162;198;182;
162.0,8.0,144;198;161;121;182;148;185;181;,8.0,144;198;161;121;182;148;185;181;
163.0,8.0,142;167;158;140;157;177;175;187;,8.0,142;167;158;140;157;177;175;187;
164.0,8.0,197;188;183;178;179;180;192;170;,8.0,197;188;183;178;179;180;192;170;
165.0,8.0,186;173;184;193;194;510;508;149;,8.0,186;173;184;193;194;510;508;149;
166.0,8.0,195;189;132;171;192;180;160;179;,8.0,195;189;132;171;192;180;160;179;
167.0,8.0,163;142;158;140;157;177;182;198;,8.0,163;142;158;140;157;177;182;198;
168.0,8.0,123;141;169;209;134;130;176;199;,8.0,123;141;169;209;134;130;176;199;
169.0,8.0,209;123;168;141;220;146;134;130;,8.0,209;123;168;141;220;146;134;130;
170.0,8.0,187;175;177;183;197;158;164;142;,8.0,187;175;177;183;197;158;164;142;
171.0,8.0,160;149;132;193;195;166;184;173;,8.0,160;149;132;193;195;166;184;173;
172.0,8.0,190;191;508;510;194;500;165;186;,8.0,190;191;508;510;194;500;165;186;
173.0,8.0,184;186;165;193;149;194;160;510;,8.0,184;186;165;193;149;194;160;510;
174.0,8.0,232;126;120;152;139;137;135;150;,8.0,232;126;120;152;139;137;135;150;
175.0,8.0,187;170;177;158;183;142;163;197;,8.0,187;170;177;158;183;142;163;197;
176.0,8.0,199;130;134;122;141;168;123;154;,8.0,199;130;134;122;141;168;123;154;
177.0,8.0,175;187;170;158;142;163;167;183;,8.0,175;187;170;158;142;163;167;183;
178.0,8.0,179;188;180;192;164;197;183;189;,8.0,179;188;180;192;164;197;183;189;
179.0,8.0,178;180;192;188;164;197;183;189;,8.0,178;180;192;188;164;197;183;189;
180.0,8.0,192;179;178;188;164;189;197;183;,8.0,192;179;178;188;164;189;197;183;
181.0,8.0,185;148;121;161;144;196;162;133;,8.0,185;148;121;161;144;196;162;133;
182.0,8.0,198;162;144;161;121;148;185;157;,8.0,198;162;144;161;121;148;185;157;
183.0,8.0,197;164;188;170;178;187;175;179;,8.0,197;164;188;170;178;187;175;179;
184.0,8.0,173;186;165;193;149;160;194;510;,8.0,173;186;165;193;149;160;194;510;
185.0,8.0,148;181;121;161;144;162;196;133;,8.0,148;181;121;161;144;162;196;133;
186.0,8.0,165;173;184;193;194;510;508;149;,8.0,165;173;184;193;194;510;508;149;
187.0,8.0,175;170;177;158;183;142;163;197;,8.0,175;170;177;158;183;142;163;197;
188.0,8.0,164;178;197;179;183;180;192;170;,8.0,164;178;197;179;183;180;192;170;
189.0,8.0,166;195;192;180;179;132;178;171;,8.0,166;195;192;180;179;132;178;171;
190.0,8.0,172;191;508;510;194;500;165;186;,8.0,172;191;508;510;194;500;165;186;
191.0,8.0,190;172;508;510;194;165;186;173;,8.0,190;172;508;510;194;165;186;173;
192.0,8.0,180;179;178;188;189;164;197;183;,8.0,180;179;178;188;189;164;197;183;
193.0,8.0,184;173;149;160;186;165;171;132;,8.0,184;173;149;160;186;165;171;132;
194.0,8.0,510;508;165;186;173;184;191;193;,8.0,510;508;165;186;173;184;191;193;
195.0,8.0,166;189;132;171;192;180;160;149;,8.0,166;189;132;171;192;180;160;149;
196.0,8.0,133;136;181;185;148;121;161;144;,8.0,133;136;181;185;148;121;161;144;
197.0,8.0,183;164;188;178;170;179;187;175;,8.0,183;164;188;178;170;179;187;175;
198.0,8.0,182;162;144;161;121;148;185;181;,8.0,182;162;144;161;121;148;185;181;
199.0,8.0,176;122;130;134;141;168;123;154;,8.0,176;122;130;134;141;168;123;154;
200.0,8.0,124;129;155;125;143;150;137;234;,8.0,124;129;155;125;143;150;137;234;
201.0,8.0,376;236;235;100;9;229;392;228;,8.0,376;236;235;100;9;229;392;228;
202.0,8.0,365;373;216;226;210;388;393;383;,8.0,365;373;216;226;210;388;393;383;
203.0,8.0,214;223;398;225;230;219;222;231;,8.0,214;223;398;225;230;219;222;231;
204.0,8.0,21;30;115;88;90;94;0;384;,8.0,21;30;115;88;90;94;0;384;
205.0,8.0,17;112;102;14;24;8;31;6;,8.0,17;112;102;14;24;8;31;6;
206.0,8.0,109;108;13;111;97;33;98;396;,8.0,109;108;13;111;97;33;98;396;
207.0,8.0,128;154;122;136;199;133;176;196;,8.0,128;154;122;136;199;133;176;196;
208.0,8.0,391;371;25;12;394;217;379;372;,8.0,391;371;25;12;394;217;379;372;
209.0,8.0,169;220;146;123;168;141;147;135;,8.0,169;220;146;123;168;141;147;135;
210.0,8.0,216;373;202;392;365;235;226;388;,8.0,216;373;202;392;365;235;226;388;
211.0,8.0,362;85;37;15;127;395;378;4;,8.0,362;85;37;15;127;395;378;4;
212.0,8.0,227;156;131;238;387;231;222;219;,8.0,227;156;131;238;387;231;222;219;
213.0,8.0,96;10;389;118;363;385;377;383;,8.0,96;10;389;118;363;385;377;383;
214.0,8.0,223;398;225;203;230;219;222;231;,8.0,223;398;225;203;230;219;222;231;
215.0,8.0,237;228;159;239;229;9;100;376;,8.0,237;228;159;239;229;9;100;376;
216.0,8.0,373;210;202;365;392;226;388;393;,8.0,373;210;202;365;392;226;388;393;
217.0,8.0,224;394;218;366;371;86;208;391;,8.0,224;394;218;366;371;86;208;391;
218.0,8.0,366;224;86;217;394;381;399;93;,8.0,366;224;86;217;394;381;399;93;
219.0,8.0,222;230;231;225;387;398;223;214;,8.0,222;230;231;225;387;398;223;214;
220.0,8.0,146;209;169;147;135;123;168;141;,8.0,146;209;169;147;135;123;168;141;
221.0,8.0,106;116;35;34;20;5;80;36;,8.0,106;116;35;34;20;5;80;36;
222.0,8.0,219;230;231;387;225;398;223;214;,8.0,219;230;231;387;225;398;223;214;
223.0,8.0,398;225;214;230;219;222;203;231;,8.0,398;225;214;230;219;222;203;231;
224.0,8.0,217;394;218;366;86;371;208;381;,8.0,217;394;218;366;86;371;208;381;
225.0,8.0,398;223;214;230;219;222;203;231;,8.0,398;223;214;230;219;222;203;231;
226.0,8.0,388;393;383;377;385;365;202;363;,8.0,388;393;383;377;385;365;202;363;
227.0,8.0,212;156;131;387;238;231;222;219;,8.0,212;156;131;387;238;231;222;219;
228.0,8.0,237;215;159;229;239;9;100;376;,8.0,237;215;159;229;239;9;100;376;
229.0,8.0,9;100;376;201;236;228;237;215;,8.0,9;100;376;201;236;228;237;215;
230.0,8.0,219;222;225;398;223;214;231;387;,8.0,219;222;225;398;223;214;231;387;
231.0,8.0,387;222;219;230;225;398;223;214;,8.0,387;222;219;230;225;398;223;214;
232.0,8.0,174;126;120;139;137;152;150;135;,8.0,174;126;120;139;137;152;150;135;
233.0,8.0,103;370;369;368;364;127;15;85;,8.0,103;370;369;368;364;127;15;85;
234.0,8.0,153;143;151;138;125;145;129;200;,8.0,153;143;151;138;125;145;129;200;
235.0,8.0,236;201;392;376;100;9;229;210;,8.0,236;201;392;376;100;9;229;210;
236.0,8.0,201;376;235;100;9;229;392;228;,8.0,201;376;235;100;9;229;392;228;
237.0,8.0,215;228;159;239;229;9;100;376;,8.0,215;228;159;239;229;9;100;376;
238.0,8.0,145;131;138;151;153;234;143;212;,8.0,145;131;138;151;153;234;143;212;
239.0,8.0,159;215;237;228;229;9;100;203;,8.0,159;215;237;228;229;9;100;203;
240.0,8.0,263;248;262;68;260;39;65;50;,8.0,263;248;262;68;260;39;65;50;
241.0,8.0,72;70;274;243;254;250;264;45;,8.0,72;70;274;243;254;250;264;45;
242.0,8.0,265;258;64;270;61;257;23;59;,8.0,265;258;64;270;61;257;23;59;
243.0,8.0,274;72;241;70;250;254;264;45;,8.0,274;72;241;70;250;254;264;45;
244.0,8.0,246;42;261;279;55;56;269;268;,8.0,246;42;261;279;55;56;269;268;
245.0,8.0,95;2;89;113;34;35;221;106;,8.0,95;2;89;113;34;35;221;106;
246.0,8.0,244;279;42;261;55;56;269;268;,8.0,244;279;42;261;55;56;269;268;
247.0,8.0,41;316;251;272;40;259;43;249;,8.0,41;316;251;272;40;259;43;249;
248.0,8.0,240;263;262;68;260;39;65;50;,8.0,240;263;262;68;260;39;65;50;
249.0,8.0,277;63;268;55;43;259;279;246;,8.0,277;63;268;55;43;259;279;246;
250.0,8.0,264;45;243;274;72;269;241;56;,8.0,264;45;243;274;72;269;241;56;
251.0,8.0,316;41;272;247;40;259;43;282;,8.0,316;41;272;247;40;259;43;282;
252.0,8.0,73;253;59;48;267;270;64;79;,8.0,73;253;59;48;267;270;64;79;
253.0,8.0,59;73;252;270;64;48;267;242;,8.0,59;73;252;270;64;48;267;242;
254.0,8.0,70;241;72;274;243;74;57;250;,8.0,70;241;72;274;243;74;57;250;
255.0,8.0,76;58;66;282;46;40;78;272;,8.0,76;58;66;282;46;40;78;272;
256.0,8.0,67;290;317;47;60;305;289;278;,8.0,67;290;317;47;60;305;289;278;
257.0,8.0,61;23;258;265;242;271;64;270;,8.0,61;23;258;265;242;271;64;270;
258.0,8.0,265;242;61;257;64;270;23;59;,8.0,265;242;61;257;64;270;23;59;
259.0,8.0,43;247;41;249;316;251;277;272;,8.0,43;247;41;249;316;251;277;272;
260.0,8.0,39;65;68;50;262;51;263;240;,8.0,39;65;68;50;262;51;263;240;
261.0,8.0,42;244;246;56;269;279;45;264;,8.0,42;244;246;56;269;279;45;264;
262.0,8.0,68;260;263;39;240;65;50;248;,8.0,68;260;263;39;240;65;50;248;
263.0,8.0,240;262;68;248;260;39;65;50;,8.0,240;262;68;248;260;39;65;50;
264.0,8.0,45;250;269;56;243;274;72;241;,8.0,45;250;269;56;243;274;72;241;
265.0,8.0,242;258;64;270;61;257;23;59;,8.0,242;258;64;270;61;257;23;59;
266.0,8.0,75;44;77;52;69;57;74;312;,8.0,75;44;77;52;69;57;74;312;
267.0,8.0,48;79;252;275;73;253;59;71;,8.0,48;79;252;275;73;253;59;71;
268.0,8.0,63;277;249;55;279;43;246;244;,8.0,63;277;249;55;279;43;246;244;
269.0,8.0,56;45;264;250;261;42;243;274;,8.0,56;45;264;250;261;42;243;274;
270.0,8.0,64;242;265;59;253;73;258;252;,8.0,64;242;265;59;253;73;258;252;
271.0,8.0,51;23;257;61;50;65;39;260;,8.0,51;23;257;61;50;65;39;260;
272.0,8.0,251;316;41;247;40;259;43;282;,8.0,251;316;41;247;40;259;43;282;
273.0,8.0,278;305;303;313;304;317;290;301;,8.0,278;305;303;313;304;317;290;301;
274.0,8.0,72;243;241;70;254;250;264;45;,8.0,72;243;241;70;254;250;264;45;
275.0,8.0,71;78;46;79;267;48;58;76;,8.0,71;78;46;79;267;48;58;76;
276.0,8.0,318;289;60;47;49;67;256;290;,8.0,318;289;60;47;49;67;256;290;
277.0,8.0,249;63;268;55;43;259;279;246;,8.0,249;63;268;55;43;259;279;246;
278.0,8.0,273;305;303;317;290;313;304;256;,8.0,273;305;303;317;290;313;304;256;
279.0,8.0,246;244;55;42;261;268;63;277;,8.0,246;244;55;42;261;268;63;277;
280.0,8.0,301;292;304;313;310;288;303;306;,8.0,301;292;304;313;310;288;303;306;
281.0,8.0,311;299;293;297;319;308;284;306;,8.0,311;299;293;297;319;308;284;306;
282.0,8.0,66;40;255;76;272;251;316;58;,8.0,66;40;255;76;272;251;316;58;
283.0,8.0,300;298;296;291;285;314;295;287;,8.0,300;298;296;291;285;314;295;287;
284.0,8.0,308;319;299;314;285;311;281;293;,8.0,308;319;299;314;285;311;281;293;
285.0,8.0,314;291;284;308;300;319;283;299;,8.0,314;291;284;308;300;319;283;299;
286.0,8.0,332;343;348;321;309;325;347;337;,8.0,332;343;348;321;309;325;347;337;
287.0,8.0,295;307;294;296;298;283;300;302;,8.0,295;307;294;296;298;283;300;302;
288.0,8.0,310;306;292;280;301;297;304;313;,8.0,310;306;292;280;301;297;304;313;
289.0,8.0,60;318;276;47;67;256;290;317;,8.0,60;318;276;47;67;256;290;317;
290.0,8.0,317;256;67;47;305;278;60;273;,8.0,317;256;67;47;305;278;60;273;
291.0,8.0,300;283;285;314;298;296;284;308;,8.0,300;283;285;314;298;296;284;308;
292.0,8.0,280;301;310;288;304;313;306;303;,8.0,280;301;310;288;304;313;306;303;
293.0,8.0,297;281;311;299;306;288;310;319;,8.0,297;281;311;299;306;288;310;319;
294.0,8.0,307;287;302;295;296;298;283;300;,8.0,307;287;302;295;296;298;283;300;
295.0,8.0,287;296;298;307;294;283;300;291;,8.0,287;296;298;307;294;283;300;291;
296.0,8.0,298;283;300;295;291;287;285;314;,8.0,298;283;300;295;291;287;285;314;
297.0,8.0,293;306;288;281;311;310;299;292;,8.0,293;306;288;281;311;310;299;292;
298.0,8.0,296;283;300;291;295;287;285;314;,8.0,296;283;300;291;295;287;285;314;
299.0,8.0,311;281;319;293;308;284;297;306;,8.0,311;281;319;293;308;284;297;306;
300.0,8.0,283;291;298;296;285;314;295;284;,8.0,283;291;298;296;285;314;295;284;
301.0,8.0,280;292;304;313;310;303;288;306;,8.0,280;292;304;313;310;303;288;306;
