point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,10.0,2;8;3;6;11;7;22;18;1;5;,0.0,
55.0,10.0,70;75;71;54;67;66;49;77;57;72;,10.0,70;75;71;54;67;66;49;77;57;72;
56.0,10.0,69;46;51;83;73;47;61;79;58;77;,10.0,69;46;51;83;73;47;61;79;58;77;
57.0,10.0,67;72;54;50;39;71;59;74;55;70;,10.0,67;72;54;50;39;71;59;74;55;70;
58.0,10.0,61;47;83;69;56;46;51;73;81;86;,10.0,61;47;83;69;56;46;51;73;81;86;
59.0,10.0,74;39;50;72;62;57;63;67;54;41;,10.0,74;39;50;72;62;57;63;67;54;41;
60.0,10.0,52;40;14;27;36;16;37;68;65;32;,10.0,52;40;14;27;36;16;37;68;65;32;
61.0,10.0,47;58;83;69;56;46;51;73;79;77;,10.0,47;58;83;69;56;46;51;73;79;77;
62.0,10.0,63;41;74;59;39;64;50;72;57;67;,10.0,63;41;74;59;39;64;50;72;57;67;
63.0,10.0,62;41;64;74;59;39;50;72;44;57;,10.0,62;41;64;74;59;39;50;72;44;57;
64.0,10.0,41;63;44;62;42;65;74;59;39;68;,10.0,41;63;44;62;42;65;74;59;39;68;
65.0,10.0,42;68;44;36;27;64;40;52;60;41;,10.0,42;68;44;36;27;64;40;52;60;41;
66.0,10.0,49;77;79;75;70;55;73;51;46;56;,10.0,49;77;79;75;70;55;73;51;46;56;
67.0,10.0,54;57;72;71;50;39;59;74;55;70;,10.0,54;57;72;71;50;39;59;74;55;70;
68.0,10.0,65;42;36;27;44;40;52;60;64;14;,10.0,65;42;36;27;44;40;52;60;64;14;
69.0,10.0,56;83;46;51;47;73;61;58;79;77;,10.0,56;83;46;51;47;73;61;58;79;77;
70.0,10.0,55;75;71;54;67;66;49;77;57;72;,10.0,55;75;71;54;67;66;49;77;57;72;
71.0,10.0,54;67;55;70;57;75;72;50;39;59;,10.0,54;67;55;70;57;75;72;50;39;59;
72.0,10.0,50;57;67;39;59;74;54;71;62;63;,10.0,50;57;67;39;59;74;54;71;62;63;
73.0,10.0,51;46;56;69;83;47;79;61;77;49;,10.0,51;46;56;69;83;47;79;61;77;49;
74.0,10.0,59;39;50;72;62;57;63;67;54;41;,10.0,59;39;50;72;62;57;63;67;54;41;
75.0,10.0,70;55;71;66;49;77;54;67;79;57;,10.0,70;55;71;66;49;77;54;67;79;57;
76.0,10.0,78;82;80;85;84;86;81;58;61;47;,10.0,78;82;80;85;84;86;81;58;61;47;
77.0,10.0,49;66;79;75;73;70;55;51;46;56;,10.0,49;66;79;75;73;70;55;51;46;56;
78.0,10.0,76;82;80;85;84;86;81;58;61;47;,10.0,76;82;80;85;84;86;81;58;61;47;
79.0,10.0,77;49;66;73;51;46;56;69;75;83;,10.0,77;49;66;73;51;46;56;69;75;83;
80.0,10.0,85;82;84;76;78;86;81;58;61;47;,10.0,85;82;84;76;78;86;81;58;61;47;
81.0,10.0,86;84;58;85;80;61;82;47;83;69;,10.0,86;84;58;85;80;61;82;47;83;69;
82.0,10.0,80;85;76;84;78;86;81;58;61;47;,10.0,80;85;76;84;78;86;81;58;61;47;
83.0,10.0,69;56;46;51;47;73;61;58;79;77;,10.0,69;56;46;51;47;73;61;58;79;77;
84.0,10.0,85;80;86;81;82;76;58;78;61;47;,10.0,85;80;86;81;82;76;58;78;61;47;
85.0,10.0,80;82;84;76;86;81;78;58;61;47;,10.0,80;82;84;76;86;81;78;58;61;47;
86.0,10.0,81;84;58;85;80;82;61;47;83;69;,10.0,81;84;58;85;80;82;61;47;83;69;
87.0,10.0,96;110;90;162;91;140;121;97;188;125;,10.0,96;110;90;162;91;140;121;97;188;125;
88.0,10.0,146;94;126;133;100;134;115;144;120;130;,10.0,146;94;126;133;100;134;115;144;120;130;
89.0,10.0,137;101;99;173;156;93;112;105;106;116;,10.0,137;101;99;173;156;93;112;105;106;116;
90.0,10.0,162;91;110;96;87;140;97;188;117;155;,10.0,162;91;110;96;87;140;97;188;117;155;
91.0,10.0,162;90;140;110;96;97;87;188;117;155;,10.0,162;90;140;110;96;97;87;188;117;155;
92.0,10.0,152;138;128;95;186;158;197;124;193;175;,10.0,152;138;128;95;186;158;197;124;193;175;
93.0,10.0,112;156;106;101;137;129;141;89;99;173;,10.0,112;156;106;101;137;129;141;89;99;173;
94.0,10.0,133;100;88;146;126;134;115;130;144;120;,10.0,133;100;88;146;126;134;115;130;144;120;
95.0,10.0,158;128;138;92;152;190;186;142;197;124;,10.0,158;128;138;92;152;190;186;142;197;124;
96.0,10.0,110;87;90;162;91;140;97;188;121;117;,10.0,110;87;90;162;91;140;97;188;121;117;
97.0,10.0,188;140;117;155;131;91;162;90;168;142;,10.0,188;140;117;155;131;91;162;90;168;142;
98.0,10.0,194;196;103;170;191;166;195;179;184;132;,10.0,194;196;103;170;191;166;195;179;184;132;
99.0,10.0,173;89;105;137;101;116;156;93;112;106;,10.0,173;89;105;137;101;116;156;93;112;106;
100.0,10.0,133;94;88;130;146;126;134;115;144;120;,10.0,133;94;88;130;146;126;134;115;144;120;
101.0,10.0,137;156;89;93;112;106;99;173;129;141;,10.0,137;156;89;93;112;106;99;173;129;141;
102.0,10.0,157;104;143;153;167;114;189;119;175;193;,10.0,157;104;143;153;167;114;189;119;175;193;
103.0,10.0,196;98;194;170;191;166;195;139;182;127;,10.0,196;98;194;170;191;166;195;139;182;127;
104.0,10.0,143;102;153;157;114;119;175;193;124;167;,10.0,143;102;153;157;114;119;175;193;124;167;
105.0,10.0,173;116;99;89;149;137;161;101;160;156;,10.0,173;116;99;89;149;137;161;101;160;156;
106.0,10.0,112;129;93;141;156;101;137;89;99;120;,10.0,112;129;93;141;156;101;137;89;99;120;
107.0,10.0,174;127;182;139;171;195;166;191;136;176;,10.0,174;127;182;139;171;195;166;191;136;176;
108.0,10.0,199;187;132;184;179;163;192;151;111;145;,10.0,199;187;132;184;179;163;192;151;111;145;
109.0,10.0,177;125;121;148;169;165;150;87;96;110;,10.0,177;125;121;148;169;165;150;87;96;110;
110.0,10.0,96;87;90;162;91;140;97;188;121;117;,10.0,96;87;90;162;91;140;97;188;121;117;
111.0,10.0,145;151;192;163;178;164;189;167;108;199;,10.0,145;151;192;163;178;164;189;167;108;199;
112.0,10.0,93;106;156;129;141;101;137;89;99;173;,10.0,93;106;156;129;141;101;137;89;99;173;
113.0,10.0,180;181;147;123;198;118;122;176;136;183;,10.0,180;181;147;123;198;118;122;176;136;183;
114.0,10.0,119;175;153;193;143;124;104;197;186;102;,10.0,119;175;153;193;143;124;104;197;186;102;
115.0,10.0,134;126;144;120;146;88;94;141;133;100;,10.0,134;126;144;120;146;88;94;141;133;100;
116.0,10.0,105;173;149;161;99;160;150;165;89;169;,10.0,105;173;149;161;99;160;150;165;89;169;
117.0,10.0,155;188;97;140;131;168;91;162;90;142;,10.0,155;188;97;140;131;168;91;162;90;142;
118.0,10.0,122;198;123;176;136;147;180;113;171;181;,10.0,122;198;123;176;136;147;180;113;171;181;
119.0,10.0,175;193;114;124;197;153;186;143;104;152;,10.0,175;193;114;124;197;153;186;143;104;152;
120.0,10.0,144;115;134;126;146;141;129;88;106;112;,10.0,144;115;134;126;146;141;129;88;106;112;
121.0,10.0,125;109;177;87;148;96;110;169;90;162;,10.0,125;109;177;87;148;96;110;169;90;162;
122.0,10.0,118;198;123;176;136;147;180;113;171;181;,10.0,118;198;123;176;136;147;180;113;171;181;
123.0,10.0,198;118;122;176;136;147;180;113;171;181;,10.0,198;118;122;176;136;147;180;113;171;181;
124.0,10.0,197;186;193;175;119;152;92;138;114;128;,10.0,197;186;193;175;119;152;92;138;114;128;
125.0,10.0,121;109;177;148;169;87;96;110;165;150;,10.0,121;109;177;148;169;87;96;110;165;150;
126.0,10.0,134;115;146;144;88;120;94;133;100;141;,10.0,134;115;146;144;88;120;94;133;100;141;
127.0,10.0,182;139;107;174;195;171;166;191;170;136;,10.0,182;139;107;174;195;171;166;191;170;136;
128.0,10.0,95;138;158;92;152;186;197;124;190;142;,10.0,95;138;158;92;152;186;197;124;190;142;
129.0,10.0,141;106;112;93;156;101;137;120;89;144;,10.0,141;106;112;93;156;101;137;120;89;144;
130.0,10.0,100;133;94;88;146;126;134;115;144;120;,10.0,100;133;94;88;146;126;134;115;144;120;
131.0,10.0,168;155;117;142;188;97;140;190;91;162;,10.0,168;155;117;142;188;97;140;190;91;162;
132.0,10.0,187;184;179;199;108;194;98;196;103;170;,10.0,187;184;179;199;108;194;98;196;103;170;
133.0,10.0,100;94;88;130;146;126;134;115;144;120;,10.0,100;94;88;130;146;126;134;115;144;120;
134.0,10.0,115;126;144;146;120;88;94;133;100;141;,10.0,115;126;144;146;120;88;94;133;100;141;
135.0,10.0,159;154;172;185;183;181;113;180;147;123;,10.0,159;154;172;185;183;181;113;180;147;123;
136.0,10.0,176;122;118;198;123;147;180;171;113;174;,10.0,176;122;118;198;123;147;180;171;113;174;
137.0,10.0,101;156;89;93;112;99;106;173;129;141;,10.0,101;156;89;93;112;99;106;173;129;141;
138.0,10.0,92;152;128;95;158;186;197;124;193;190;,10.0,92;152;128;95;158;186;197;124;193;190;
139.0,10.0,182;127;107;174;195;166;191;171;170;103;,10.0,182;127;107;174;195;166;191;171;170;103;
140.0,10.0,97;188;117;155;91;162;90;131;168;110;,10.0,97;188;117;155;91;162;90;131;168;110;
141.0,10.0,129;106;112;93;156;101;137;120;144;89;,10.0,129;106;112;93;156;101;137;120;144;89;
142.0,10.0,190;168;131;158;155;95;117;188;97;128;,10.0,190;168;131;158;155;95;117;188;97;128;
143.0,10.0,104;153;102;114;119;175;157;193;124;197;,10.0,104;153;102;114;119;175;157;193;124;197;
144.0,10.0,120;115;134;126;146;88;141;129;106;94;,10.0,120;115;134;126;146;88;141;129;106;94;
145.0,10.0,111;151;192;163;178;164;189;167;108;199;,10.0,111;151;192;163;178;164;189;167;108;199;
146.0,10.0,126;88;134;115;94;144;120;133;100;141;,10.0,126;88;134;115;94;144;120;133;100;141;
147.0,10.0,180;123;198;118;122;176;136;113;181;171;,10.0,180;123;198;118;122;176;136;113;181;171;
148.0,10.0,169;165;150;177;109;160;125;161;121;149;,10.0,169;165;150;177;109;160;125;161;121;149;
149.0,10.0,161;160;150;165;116;169;148;105;177;109;,10.0,161;160;150;165;116;169;148;105;177;109;
150.0,10.0,165;160;161;169;149;148;177;109;116;125;,10.0,165;160;161;169;149;148;177;109;116;125;
151.0,10.0,192;163;111;145;178;164;108;199;189;167;,10.0,192;163;111;145;178;164;108;199;189;167;
152.0,10.0,92;138;128;186;95;197;124;158;193;175;,10.0,92;138;128;186;95;197;124;158;193;175;
153.0,10.0,143;114;104;119;175;102;193;124;157;197;,10.0,143;114;104;119;175;102;193;124;157;197;
154.0,10.0,159;135;172;185;183;181;113;180;147;123;,10.0,159;135;172;185;183;181;113;180;147;123;
155.0,10.0,117;188;97;140;131;168;91;162;90;142;,10.0,117;188;97;140;131;168;91;162;90;142;
156.0,10.0,93;101;137;112;106;89;129;141;99;173;,10.0,93;101;137;112;106;89;129;141;99;173;
157.0,10.0,102;104;167;189;143;153;114;119;175;193;,10.0,102;104;167;189;143;153;114;119;175;193;
158.0,10.0,95;128;138;92;152;190;142;186;197;124;,10.0,95;128;138;92;152;190;142;186;197;124;
159.0,10.0,135;154;172;185;183;181;113;180;147;123;,10.0,135;154;172;185;183;181;113;180;147;123;
160.0,10.0,161;150;149;165;169;148;116;177;109;105;,10.0,161;150;149;165;169;148;116;177;109;105;
161.0,10.0,160;149;150;165;169;148;116;105;177;109;,10.0,160;149;150;165;169;148;116;105;177;109;
162.0,10.0,90;91;110;96;140;87;97;188;117;155;,10.0,90;91;110;96;140;87;97;188;117;155;
163.0,10.0,192;151;111;145;178;164;108;199;189;167;,10.0,192;151;111;145;178;164;108;199;189;167;
164.0,10.0,178;145;111;151;192;163;189;167;157;102;,10.0,178;145;111;151;192;163;189;167;157;102;
165.0,10.0,150;169;160;161;148;149;177;109;125;121;,10.0,150;169;160;161;148;149;177;109;125;121;
166.0,10.0,191;195;170;139;182;127;103;196;107;174;,10.0,191;195;170;139;182;127;103;196;107;174;
167.0,10.0,189;157;102;164;104;143;178;153;145;114;,10.0,189;157;102;164;104;143;178;153;145;114;
168.0,10.0,131;142;190;155;117;188;97;140;158;95;,10.0,131;142;190;155;117;188;97;140;158;95;
169.0,10.0,148;165;150;160;177;109;161;149;125;121;,10.0,148;165;150;160;177;109;161;149;125;121;
170.0,10.0,191;103;166;195;196;98;194;139;182;127;,10.0,191;103;166;195;196;98;194;139;182;127;
171.0,10.0,174;107;127;136;182;139;176;122;118;198;,10.0,174;107;127;136;182;139;176;122;118;198;
172.0,10.0,185;183;135;181;159;154;113;180;147;123;,10.0,185;183;135;181;159;154;113;180;147;123;
173.0,10.0,99;105;89;116;137;101;156;93;149;112;,10.0,99;105;89;116;137;101;156;93;149;112;
174.0,10.0,107;127;182;139;171;195;166;191;136;176;,10.0,107;127;182;139;171;195;166;191;136;176;
175.0,10.0,119;193;114;124;197;186;153;143;152;104;,10.0,119;193;114;124;197;186;153;143;152;104;
176.0,10.0,122;118;136;198;123;147;180;171;113;174;,10.0,122;118;136;198;123;147;180;171;113;174;
177.0,10.0,109;125;121;148;169;165;150;87;96;110;,10.0,109;125;121;148;169;165;150;87;96;110;
178.0,10.0,164;145;111;151;192;163;189;167;157;102;,10.0,164;145;111;151;192;163;189;167;157;102;
179.0,10.0,184;132;187;199;108;194;98;196;103;170;,10.0,184;132;187;199;108;194;98;196;103;170;
180.0,10.0,147;113;123;198;118;122;176;136;181;171;,10.0,147;113;123;198;118;122;176;136;181;171;
181.0,10.0,113;180;183;147;185;123;172;198;118;122;,10.0,113;180;183;147;185;123;172;198;118;122;
182.0,10.0,139;127;107;174;195;166;191;171;170;103;,10.0,139;127;107;174;195;166;191;171;170;103;
183.0,10.0,185;172;181;113;135;180;159;147;154;123;,10.0,185;172;181;113;135;180;159;147;154;123;
184.0,10.0,179;132;187;199;108;194;98;196;103;170;,10.0,179;132;187;199;108;194;98;196;103;170;
185.0,10.0,183;172;181;135;113;159;180;154;147;123;,10.0,183;172;181;135;113;159;180;154;147;123;
186.0,10.0,197;124;193;152;92;138;175;119;128;114;,10.0,197;124;193;152;92;138;175;119;128;114;
187.0,10.0,132;184;179;199;108;194;98;196;103;170;,10.0,132;184;179;199;108;194;98;196;103;170;
188.0,10.0,97;117;155;140;131;91;162;90;168;142;,10.0,97;117;155;140;131;91;162;90;168;142;
189.0,10.0,167;157;102;164;104;178;143;153;145;111;,10.0,167;157;102;164;104;178;143;153;145;111;
190.0,10.0,142;168;131;158;95;128;155;138;117;188;,10.0,142;168;131;158;95;128;155;138;117;188;
191.0,10.0,166;195;170;139;182;127;103;196;107;174;,10.0,166;195;170;139;182;127;103;196;107;174;
192.0,10.0,151;163;111;145;178;164;108;199;189;167;,10.0,151;163;111;145;178;164;108;199;189;167;
193.0,10.0,175;119;124;197;186;114;152;153;92;138;,10.0,175;119;124;197;186;114;152;153;92;138;
194.0,10.0,98;196;103;170;191;166;195;179;184;132;,10.0,98;196;103;170;191;166;195;179;184;132;
195.0,10.0,166;191;170;139;182;127;107;174;103;196;,10.0,166;191;170;139;182;127;107;174;103;196;
196.0,10.0,103;98;194;170;191;166;195;139;182;179;,10.0,103;98;194;170;191;166;195;139;182;179;
197.0,10.0,124;186;193;152;175;92;119;138;114;128;,10.0,124;186;193;152;175;92;119;138;114;128;
198.0,10.0,118;122;123;176;136;147;180;113;171;181;,10.0,118;122;123;176;136;147;180;113;171;181;
199.0,10.0,108;187;132;184;179;163;192;151;194;111;,10.0,108;187;132;184;179;163;192;151;194;111;
