point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
26.0,7.0,21;19;27;11;12;9;18;,7.0,21;19;27;11;12;9;18;
27.0,7.0,12;26;21;19;11;195;22;,7.0,12;26;21;19;11;195;22;
28.0,7.0,31;25;196;22;195;194;12;,7.0,31;25;196;22;195;194;12;
29.0,7.0,197;24;169;194;23;223;28;,7.0,197;24;169;194;23;223;28;
30.0,7.0,33;168;198;224;39;34;32;,7.0,33;168;198;224;39;34;32;
31.0,7.0,28;25;196;22;195;194;12;,7.0,28;25;196;22;195;194;12;
32.0,7.0,39;183;224;198;223;23;30;,7.0,39;183;224;198;223;23;30;
33.0,7.0,168;30;34;225;198;224;39;,7.0,168;30;34;225;198;224;39;
34.0,7.0,168;225;33;182;30;226;198;,7.0,168;225;33;182;30;226;198;
35.0,7.0,222;40;226;239;184;182;225;,7.0,222;40;226;239;184;182;225;
36.0,7.0,181;42;227;163;231;38;233;,7.0,181;42;227;163;231;38;233;
37.0,7.0,230;41;180;153;200;167;238;,7.0,230;41;180;153;200;167;238;
38.0,7.0,231;199;170;36;181;42;227;,7.0,231;199;170;36;181;42;227;
39.0,7.0,224;32;198;183;30;223;33;,7.0,224;32;198;183;30;223;33;
40.0,7.0,222;239;184;35;226;170;199;,7.0,222;239;184;35;226;170;199;
41.0,7.0,153;230;37;167;238;185;221;,7.0,153;230;37;167;238;185;221;
42.0,7.0,181;36;227;163;233;232;231;,7.0,181;36;227;163;233;232;231;
43.0,7.0,228;237;166;200;46;186;180;,7.0,228;237;166;200;46;186;180;
44.0,7.0,234;235;53;236;164;229;187;,7.0,234;235;53;236;164;229;187;
45.0,7.0,47;213;214;216;188;162;201;,7.0,47;213;214;216;188;162;201;
46.0,7.0,186;166;237;43;228;220;200;,7.0,186;166;237;43;228;220;200;
47.0,7.0,213;45;188;214;216;201;52;,7.0,213;45;188;214;216;201;52;
48.0,7.0,212;211;202;152;60;155;172;,7.0,212;211;202;152;60;155;172;
49.0,7.0,215;193;161;178;171;155;217;,7.0,215;193;161;178;171;155;217;
50.0,7.0,162;216;214;51;45;47;213;,7.0,162;216;214;51;45;47;213;
51.0,7.0,54;50;162;216;214;45;217;,7.0,54;50;162;216;214;45;217;
52.0,7.0,201;219;188;165;213;47;45;,7.0,201;219;188;165;213;47;45;
53.0,7.0,164;187;235;220;44;234;186;,7.0,164;187;235;220;44;234;186;
54.0,7.0,51;217;50;162;171;178;216;,7.0,51;217;50;162;171;178;216;
55.0,7.0,205;63;69;65;67;159;191;,7.0,205;63;69;65;67;159;191;
56.0,7.0,160;210;62;209;156;61;203;,7.0,160;210;62;209;156;61;203;
57.0,7.0,207;58;189;177;208;172;60;,7.0,207;58;189;177;208;172;60;
58.0,7.0,189;208;207;57;177;172;156;,7.0,189;208;207;57;177;172;156;
59.0,7.0,173;149;176;151;190;206;203;,7.0,173;149;176;151;190;206;203;
60.0,7.0,172;177;57;207;58;189;208;,7.0,172;177;57;207;58;189;208;
61.0,7.0,203;206;190;59;173;210;149;,7.0,203;206;190;59;173;210;149;
62.0,7.0,209;160;56;210;156;208;189;,7.0,209;160;56;210;156;208;189;
63.0,7.0,69;205;55;65;191;67;159;,7.0,69;205;55;65;191;67;159;
64.0,7.0,66;192;68;174;175;70;73;,7.0,66;192;68;174;175;70;73;
65.0,7.0,191;69;63;205;55;150;204;,7.0,191;69;63;205;55;150;204;
66.0,7.0,192;64;68;174;175;70;73;,7.0,192;64;68;174;175;70;73;
67.0,7.0,159;151;176;55;149;173;59;,7.0,159;151;176;55;149;173;59;
68.0,7.0,174;175;64;66;192;73;157;,7.0,174;175;64;66;192;73;157;
69.0,7.0,63;205;65;55;191;67;159;,7.0,63;205;65;55;191;67;159;
70.0,7.0,192;66;64;105;68;174;175;,7.0,192;66;64;105;68;174;175;
71.0,7.0,157;73;204;150;175;174;68;,7.0,157;73;204;150;175;174;68;
72.0,7.0,158;84;75;83;105;85;74;,7.0,158;84;75;83;105;85;74;
73.0,7.0,157;71;204;150;175;174;68;,7.0,157;71;204;150;175;174;68;
74.0,7.0,85;83;84;72;77;158;75;,7.0,85;83;84;72;77;158;75;
75.0,7.0,158;72;105;84;83;85;74;,7.0,158;72;105;84;83;85;74;
76.0,7.0,88;102;81;103;82;86;119;,7.0,88;102;81;103;82;86;119;
77.0,7.0,104;74;85;86;82;83;84;,7.0,104;74;85;86;82;83;84;
78.0,7.0,87;125;89;120;90;109;80;,7.0,87;125;89;120;90;109;80;
79.0,7.0,113;137;91;98;146;123;100;,7.0,113;137;91;98;146;123;100;
80.0,7.0,109;118;90;132;139;99;120;,7.0,109;118;90;132;139;99;120;
81.0,7.0,88;76;82;86;102;103;119;,7.0,88;76;82;86;102;103;119;
82.0,7.0,86;81;88;76;102;103;104;,7.0,86;81;88;76;102;103;104;
83.0,7.0,84;72;158;75;85;74;105;,7.0,84;72;158;75;85;74;105;
84.0,7.0,83;72;158;75;85;105;74;,7.0,83;72;158;75;85;105;74;
85.0,7.0,74;83;84;72;158;75;77;,7.0,74;83;84;72;158;75;77;
86.0,7.0,82;81;88;76;102;104;103;,7.0,82;81;88;76;102;104;103;
87.0,7.0,78;125;89;120;90;109;80;,7.0,78;125;89;120;90;109;80;
88.0,7.0,81;76;82;86;102;103;119;,7.0,81;76;82;86;102;103;119;
89.0,7.0,125;87;78;120;90;109;80;,7.0,125;87;78;120;90;109;80;
90.0,7.0,109;80;120;118;132;78;87;,7.0,109;80;120;118;132;78;87;
91.0,7.0,98;100;141;93;95;108;79;,7.0,98;100;141;93;95;108;79;
92.0,7.0,107;136;129;114;143;122;94;,7.0,107;136;129;114;143;122;94;
93.0,7.0,141;95;100;108;117;147;127;,7.0,141;95;100;108;117;147;127;
94.0,7.0,122;143;114;129;135;136;107;,7.0,122;143;114;129;135;136;107;
95.0,7.0,108;93;141;117;147;127;100;,7.0,108;93;141;117;147;127;100;
96.0,7.0,135;110;121;94;122;143;114;,7.0,135;110;121;94;122;143;114;
97.0,7.0,116;142;111;128;130;144;145;,7.0,116;142;111;128;130;144;145;
98.0,7.0,91;100;141;93;95;108;79;,7.0,91;100;141;93;95;108;79;
99.0,7.0,139;126;132;118;80;109;90;,7.0,139;126;132;118;80;109;90;
100.0,7.0,141;93;98;95;91;108;117;,7.0,141;93;98;95;91;108;117;
101.0,7.0,140;126;99;139;124;132;148;,7.0,140;126;99;139;124;132;148;
102.0,7.0,103;76;88;81;119;82;86;,7.0,103;76;88;81;119;82;86;
103.0,7.0,102;76;119;88;81;82;86;,7.0,102;76;119;88;81;82;86;
104.0,7.0,77;86;82;74;81;88;85;,7.0,77;86;82;74;81;88;85;
105.0,7.0,75;158;72;84;83;85;74;,7.0,75;158;72;84;83;85;74;
106.0,7.0,115;121;110;96;135;94;122;,7.0,115;121;110;96;135;94;122;
107.0,7.0,136;129;92;114;143;122;94;,7.0,136;129;92;114;143;122;94;
108.0,7.0,95;117;147;127;93;131;141;,7.0,95;117;147;127;93;131;141;
109.0,7.0,90;80;118;132;120;139;99;,7.0,90;80;118;132;120;139;99;
110.0,7.0,121;96;135;115;106;94;122;,7.0,121;96;135;115;106;94;122;
111.0,7.0,142;97;144;116;128;130;145;,7.0,142;97;144;116;128;130;145;
112.0,7.0,133;138;131;148;127;147;117;,7.0,133;138;131;148;127;147;117;
113.0,7.0,137;79;146;123;134;91;145;,7.0,137;79;146;123;134;91;145;
114.0,7.0,143;129;122;136;107;92;94;,7.0,143;129;122;136;107;92;94;
115.0,7.0,106;121;110;96;135;94;122;,7.0,106;121;110;96;135;94;122;
116.0,7.0,97;142;111;128;130;145;144;,7.0,97;142;111;128;130;145;144;
117.0,7.0,147;127;131;108;95;93;141;,7.0,147;127;131;108;95;93;141;
118.0,7.0,132;80;139;99;109;90;126;,7.0,132;80;139;99;109;90;126;
119.0,7.0,103;102;76;88;81;82;86;,7.0,103;102;76;88;81;82;86;
120.0,7.0,78;87;125;89;90;109;80;,7.0,78;87;125;89;90;109;80;
121.0,7.0,110;96;135;115;106;94;122;,7.0,110;96;135;115;106;94;122;
122.0,7.0,143;114;129;136;107;94;92;,7.0,143;114;129;136;107;94;92;
123.0,7.0,146;134;145;137;130;113;128;,7.0,146;134;145;137;130;113;128;
124.0,7.0,148;133;112;138;140;101;131;,7.0,148;133;112;138;140;101;131;
125.0,7.0,87;78;89;120;90;109;80;,7.0,87;78;89;120;90;109;80;
126.0,7.0,99;139;132;118;101;80;140;,7.0,99;139;132;118;101;80;140;
127.0,7.0,147;117;131;108;95;93;141;,7.0,147;117;131;108;95;93;141;
128.0,7.0,130;145;116;97;134;123;142;,7.0,130;145;116;97;134;123;142;
129.0,7.0,136;114;107;143;92;122;94;,7.0,136;114;107;143;92;122;94;
130.0,7.0,145;128;134;123;146;116;97;,7.0,145;128;134;123;146;116;97;
131.0,7.0,127;147;117;108;95;93;138;,7.0,127;147;117;108;95;93;138;
132.0,7.0,118;139;99;80;109;126;90;,7.0,118;139;99;80;109;126;90;
133.0,7.0,112;138;131;148;127;147;117;,7.0,112;138;131;148;127;147;117;
134.0,7.0,123;145;146;130;128;137;113;,7.0,123;145;146;130;128;137;113;
135.0,7.0,96;94;110;121;122;143;114;,7.0,96;94;110;121;122;143;114;
136.0,7.0,129;107;114;143;92;122;94;,7.0,129;107;114;143;92;122;94;
137.0,7.0,113;146;123;79;134;145;130;,7.0,113;146;123;79;134;145;130;
138.0,7.0,112;133;131;127;147;117;148;,7.0,112;133;131;127;147;117;148;
139.0,7.0,99;132;126;118;80;109;90;,7.0,99;132;126;118;80;109;90;
140.0,7.0,101;126;124;99;139;148;132;,7.0,101;126;124;99;139;148;132;
141.0,7.0,100;93;95;108;98;91;117;,7.0,100;93;95;108;98;91;117;
142.0,7.0,111;97;116;144;128;130;145;,7.0,111;97;116;144;128;130;145;
143.0,7.0,114;129;122;136;107;92;94;,7.0,114;129;122;136;107;92;94;
144.0,7.0,111;142;97;116;92;107;136;,7.0,111;142;97;116;92;107;136;
145.0,7.0,130;134;123;128;146;137;116;,7.0,130;134;123;128;146;137;116;
146.0,7.0,123;134;137;113;145;130;79;,7.0,123;134;137;113;145;130;79;
147.0,7.0,117;127;131;108;95;93;141;,7.0,117;127;131;108;95;93;141;
148.0,7.0,124;133;112;138;140;101;131;,7.0,124;133;112;138;140;101;131;
149.0,7.0,173;59;176;151;190;206;203;,7.0,173;59;176;151;190;206;203;
150.0,7.0,204;71;157;73;191;65;175;,7.0,204;71;157;73;191;65;175;
151.0,7.0,176;149;173;159;59;67;190;,7.0,176;149;173;159;59;67;190;
152.0,7.0,202;155;211;212;48;49;215;,7.0,202;155;211;212;48;49;215;
153.0,7.0,41;230;167;238;185;221;37;,7.0,41;230;167;238;185;221;37;
154.0,7.0,179;218;229;165;236;219;234;,7.0,179;218;229;165;236;219;234;
155.0,7.0,152;202;211;212;49;48;215;,7.0,152;202;211;212;49;48;215;
156.0,7.0,208;189;58;209;62;207;57;,7.0,208;189;58;209;62;207;57;
157.0,7.0,73;71;204;150;175;174;68;,7.0,73;71;204;150;175;174;68;
158.0,7.0,72;75;84;83;105;85;74;,7.0,72;75;84;83;105;85;74;
159.0,7.0,67;151;176;149;173;59;55;,7.0,67;151;176;149;173;59;55;
160.0,7.0,56;210;62;209;156;61;203;,7.0,56;210;62;209;156;61;203;
161.0,7.0,178;171;193;215;217;49;54;,7.0,178;171;193;215;217;49;54;
162.0,7.0,50;216;214;51;45;47;213;,7.0,50;216;214;51;45;47;213;
163.0,7.0,227;233;42;232;181;36;221;,7.0,227;233;42;232;181;36;221;
164.0,7.0,187;53;220;235;44;234;186;,7.0,187;53;220;235;44;234;186;
165.0,7.0,218;219;179;52;201;154;188;,7.0,218;219;179;52;201;154;188;
166.0,7.0,237;43;228;46;186;200;180;,7.0,237;43;228;46;186;200;180;
167.0,7.0,238;185;221;153;41;232;233;,7.0,238;185;221;153;41;232;233;
168.0,7.0,33;34;30;225;198;224;182;,7.0,33;34;30;225;198;224;182;
169.0,7.0,24;197;29;23;223;194;183;,7.0,24;197;29;23;223;194;183;
170.0,7.0,199;38;231;184;239;40;222;,7.0,199;38;231;184;239;40;222;
171.0,7.0,178;161;217;193;215;49;54;,7.0,178;161;217;193;215;49;54;
172.0,7.0,177;60;57;207;58;189;208;,7.0,177;60;57;207;58;189;208;
173.0,7.0,149;59;176;151;190;206;203;,7.0,149;59;176;151;190;206;203;
174.0,7.0,175;68;64;66;192;73;157;,7.0,175;68;64;66;192;73;157;
175.0,7.0,174;68;64;66;73;192;157;,7.0,174;68;64;66;73;192;157;
176.0,7.0,151;149;173;59;159;67;190;,7.0,151;149;173;59;159;67;190;
177.0,7.0,172;57;207;60;58;189;208;,7.0,172;57;207;60;58;189;208;
178.0,7.0,161;171;193;217;215;49;54;,7.0,161;171;193;217;215;49;54;
179.0,7.0,154;218;165;229;236;219;52;,7.0,154;218;165;229;236;219;52;
180.0,7.0,200;37;228;230;43;237;166;,7.0,200;37;228;230;43;237;166;
181.0,7.0,42;36;227;163;233;231;38;,7.0,42;36;227;163;233;231;38;
182.0,7.0,226;225;34;35;168;222;40;,7.0,226;225;34;35;168;222;40;
183.0,7.0,32;223;39;23;224;198;169;,7.0,32;223;39;23;224;198;169;
184.0,7.0,239;40;222;35;170;199;226;,7.0,239;40;222;35;170;199;226;
185.0,7.0,221;238;167;153;232;233;41;,7.0,221;238;167;153;232;233;41;
186.0,7.0,46;166;237;43;228;220;200;,7.0,46;166;237;43;228;220;200;
187.0,7.0,164;53;220;235;44;186;46;,7.0,164;53;220;235;44;186;46;
188.0,7.0,213;201;47;52;45;219;214;,7.0,213;201;47;52;45;219;214;
189.0,7.0,208;58;207;57;177;156;172;,7.0,208;58;207;57;177;156;172;
190.0,7.0,206;203;61;59;173;149;176;,7.0,206;203;61;59;173;149;176;
191.0,7.0,65;69;63;205;150;204;55;,7.0,65;69;63;205;150;204;55;
192.0,7.0,66;64;68;174;175;70;73;,7.0,66;64;68;174;175;70;73;
193.0,7.0,215;161;49;178;171;217;155;,7.0,215;161;49;178;171;217;155;
194.0,7.0,29;197;28;31;25;196;24;,7.0,29;197;28;31;25;196;24;
195.0,7.0,22;196;25;31;28;12;194;,7.0,22;196;25;31;28;12;194;
196.0,7.0,25;22;31;28;195;12;194;,7.0,25;22;31;28;195;12;194;
197.0,7.0,29;24;169;194;23;223;28;,7.0,29;24;169;194;23;223;28;
198.0,7.0,224;39;32;30;183;33;168;,7.0,224;39;32;30;183;33;168;
199.0,7.0,170;38;231;184;239;36;181;,7.0,170;38;231;184;239;36;181;
200.0,7.0,228;43;237;180;166;46;186;,7.0,228;43;237;180;166;46;186;
201.0,7.0,52;219;188;165;213;47;45;,7.0,52;219;188;165;213;47;45;
202.0,7.0,211;152;212;155;48;49;215;,7.0,211;152;212;155;48;49;215;
203.0,7.0,206;190;61;59;173;149;176;,7.0,206;190;61;59;173;149;176;
204.0,7.0,150;71;157;73;191;65;175;,7.0,150;71;157;73;191;65;175;
205.0,7.0,63;55;69;65;191;67;159;,7.0,63;55;69;65;191;67;159;
206.0,7.0,190;203;61;59;173;149;176;,7.0,190;203;61;59;173;149;176;
207.0,7.0,57;58;189;208;177;172;60;,7.0,57;58;189;208;177;172;60;
208.0,7.0,189;58;207;57;177;156;172;,7.0,189;58;207;57;177;156;172;
209.0,7.0,62;160;56;210;156;208;189;,7.0,62;160;56;210;156;208;189;
210.0,7.0,56;160;62;209;61;156;203;,7.0,56;160;62;209;61;156;203;
211.0,7.0,202;212;152;155;48;49;215;,7.0,202;212;152;155;48;49;215;
212.0,7.0,211;202;152;48;155;60;49;,7.0,211;202;152;48;155;60;49;
213.0,7.0,47;45;188;214;216;201;52;,7.0,47;45;188;214;216;201;52;
214.0,7.0,216;45;47;162;50;213;188;,7.0,216;45;47;162;50;213;188;
215.0,7.0,193;49;161;178;171;217;155;,7.0,193;49;161;178;171;217;155;
216.0,7.0,214;45;162;50;47;213;188;,7.0,214;45;162;50;47;213;188;
217.0,7.0,171;178;161;193;215;54;49;,7.0,171;178;161;193;215;54;49;
218.0,7.0,179;154;165;219;52;229;201;,7.0,179;154;165;219;52;229;201;
219.0,7.0,52;201;165;188;218;213;47;,7.0,52;201;165;188;218;213;47;
220.0,7.0,187;164;53;186;46;235;166;,7.0,187;164;53;186;46;235;166;
221.0,7.0,185;238;167;153;232;233;41;,7.0,185;238;167;153;232;233;41;
222.0,7.0,40;239;184;35;226;170;199;,7.0,40;239;184;35;226;170;199;
223.0,7.0,183;23;32;39;169;224;198;,7.0,183;23;32;39;169;224;198;
224.0,7.0,198;39;32;30;183;33;223;,7.0,198;39;32;30;183;33;223;
225.0,7.0,34;182;168;226;33;30;35;,7.0,34;182;168;226;33;30;35;
226.0,7.0,182;35;222;225;40;239;184;,7.0,182;35;222;225;40;239;184;
227.0,7.0,163;42;233;181;232;36;231;,7.0,163;42;233;181;232;36;231;
228.0,7.0,43;237;200;166;46;186;180;,7.0,43;237;200;166;46;186;180;
229.0,7.0,236;154;234;179;44;218;235;,7.0,236;154;234;179;44;218;235;
230.0,7.0,37;41;153;180;167;238;185;,7.0,37;41;153;180;167;238;185;
231.0,7.0,38;199;170;36;181;42;227;,7.0,38;199;170;36;181;42;227;
232.0,7.0,233;163;227;221;185;42;238;,7.0,233;163;227;221;185;42;238;
233.0,7.0,232;163;227;42;181;36;221;,7.0,232;163;227;42;181;36;221;
234.0,7.0,44;235;236;229;53;164;187;,7.0,44;235;236;229;53;164;187;
235.0,7.0,44;234;53;164;187;220;236;,7.0,44;234;53;164;187;220;236;
236.0,7.0,229;234;44;154;179;235;218;,7.0,229;234;44;154;179;235;218;
237.0,7.0,166;43;228;46;186;200;180;,7.0,166;43;228;46;186;200;180;
238.0,7.0,167;185;221;153;232;41;233;,7.0,167;185;221;153;232;41;233;
239.0,7.0,184;40;222;35;170;199;226;,7.0,184;40;222;35;170;199;226;
